edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1960 Summer Olympics,15,1960,Australia,AUS,8,8,6,22
1960 Summer Olympics,15,1960,United States,USA,34,21,16,71
1960 Summer Olympics,15,1960,Soviet Union,URS,43,29,31,103
1960 Summer Olympics,15,1960,Türkiye,TUR,7,2,0,9
1960 Summer Olympics,15,1960,Hungary,HUN,6,8,7,21
1960 Summer Olympics,15,1960,Japan,JPN,4,7,7,18
1960 Summer Olympics,15,1960,Poland,POL,4,6,11,21
1960 Summer Olympics,15,1960,Germany,GER,12,19,11,42
1960 Summer Olympics,15,1960,Italy,ITA,13,10,13,36
1960 Winter Olympics,36,1960,Austria,AUT,1,2,3,6
1960 Winter Olympics,36,1960,Norway,NOR,3,3,0,6
1960 Winter Olympics,36,1960,Sweden,SWE,3,2,2,7
1960 Winter Olympics,36,1960,Finland,FIN,2,3,3,8
1960 Winter Olympics,36,1960,Canada,CAN,2,1,1,4
1960 Winter Olympics,36,1960,Switzerland,SUI,2,0,0,2
1960 Summer Olympics,15,1960,Czechoslovakia,TCH,3,2,3,8
1960 Winter Olympics,36,1960,France,FRA,1,0,2,3
1960 Winter Olympics,36,1960,Netherlands,NED,0,1,1,2
1960 Winter Olympics,36,1960,Poland,POL,0,1,1,2
1960 Winter Olympics,36,1960,Czechoslovakia,TCH,0,1,0,1
1960 Winter Olympics,36,1960,Italy,ITA,0,0,1,1
1960 Winter Olympics,36,1960,United States,USA,3,4,3,10
1960 Summer Olympics,15,1960,Romania,ROU,3,1,6,10
1960 Summer Olympics,15,1960,Bulgaria,BUL,1,3,3,7
1960 Summer Olympics,15,1960,Denmark,DEN,2,3,1,6
1960 Summer Olympics,15,1960,United Arab Republic,UAR,0,1,1,2
1960 Summer Olympics,15,1960,Canada,CAN,0,1,0,1
1960 Summer Olympics,15,1960,Chinese Taipei,TPE,0,1,0,1
1960 Summer Olympics,15,1960,Ghana,GHA,0,1,0,1
1960 Summer Olympics,15,1960,Great Britain,GBR,2,6,12,20
1960 Summer Olympics,15,1960,Morocco,MAR,0,1,0,1
1960 Summer Olympics,15,1960,Argentina,ARG,0,1,1,2
1960 Summer Olympics,15,1960,Portugal,POR,0,1,0,1
1960 Summer Olympics,15,1960,Brazil,BRA,0,0,2,2
1960 Summer Olympics,15,1960,West Indies Federation,WIF,0,0,2,2
1960 Summer Olympics,15,1960,Iraq,IRQ,0,0,1,1
1960 Summer Olympics,15,1960,Mexico,MEX,0,0,1,1
1960 Summer Olympics,15,1960,Spain,ESP,0,0,1,1
1960 Summer Olympics,15,1960,Venezuela,VEN,0,0,1,1
1960 Summer Olympics,15,1960,Singapore,SGP,0,1,0,1
1960 Summer Olympics,15,1960,South Africa,RSA,0,1,2,3
1960 Summer Olympics,15,1960,India,IND,0,1,0,1
1960 Summer Olympics,15,1960,Islamic Republic of Iran,IRI,0,1,3,4
1960 Summer Olympics,15,1960,Netherlands,NED,0,1,2,3
1960 Winter Olympics,36,1960,Germany,GER,4,3,1,8
1960 Winter Olympics,36,1960,Soviet Union,URS,7,5,9,21
1960 Summer Olympics,15,1960,Sweden,SWE,1,2,3,6
1960 Summer Olympics,15,1960,Finland,FIN,1,1,3,5
1960 Summer Olympics,15,1960,Austria,AUT,1,1,0,2
1960 Summer Olympics,15,1960,Yugoslavia,YUG,1,1,0,2
1960 Summer Olympics,15,1960,New Zealand,NZL,2,0,1,3
1960 Summer Olympics,15,1960,Ethiopia,ETH,1,0,0,1
1960 Summer Olympics,15,1960,Greece,GRE,1,0,0,1
1960 Summer Olympics,15,1960,Norway,NOR,1,0,0,1
1960 Summer Olympics,15,1960,Switzerland,SUI,0,3,3,6
1960 Summer Olympics,15,1960,France,FRA,0,2,3,5
1960 Summer Olympics,15,1960,Belgium,BEL,0,2,2,4
1960 Summer Olympics,15,1960,Pakistan,PAK,1,0,1,2
