edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1924 Winter Olympics,29,1924,Finland,FIN,4,4,3,11
1924 Winter Olympics,29,1924,Belgium,BEL,0,0,1,1
1924 Winter Olympics,29,1924,France,FRA,0,0,3,3
1924 Winter Olympics,29,1924,Mixed team,MIX,1,0,0,1
1924 Winter Olympics,29,1924,Canada,CAN,1,0,0,1
1924 Winter Olympics,29,1924,Sweden,SWE,1,1,0,2
1924 Winter Olympics,29,1924,Great Britain,GBR,1,1,2,4
1924 Winter Olympics,29,1924,United States,USA,1,2,1,4
1924 Winter Olympics,29,1924,Switzerland,SUI,2,0,1,3
1924 Winter Olympics,29,1924,Austria,AUT,2,1,0,3
1924 Summer Olympics,8,1924,Romania,ROU,0,0,1,1
1924 Winter Olympics,29,1924,Norway,NOR,4,7,6,17
1924 Summer Olympics,8,1924,New Zealand,NZL,0,0,1,1
1924 Summer Olympics,8,1924,France,FRA,14,15,12,41
1924 Summer Olympics,8,1924,Monaco,MON,0,0,1,1
1924 Summer Olympics,8,1924,Finland,FIN,14,13,10,37
1924 Summer Olympics,8,1924,Great Britain,GBR,9,14,12,35
1924 Summer Olympics,8,1924,Italy,ITA,8,3,5,16
1924 Summer Olympics,8,1924,Switzerland,SUI,7,8,10,25
1924 Summer Olympics,8,1924,Norway,NOR,5,2,3,10
1924 Summer Olympics,8,1924,Sweden,SWE,4,13,12,29
1924 Summer Olympics,8,1924,Netherlands,NED,4,1,6,11
1924 Summer Olympics,8,1924,Portugal,POR,0,0,1,1
1924 Summer Olympics,8,1924,Belgium,BEL,3,7,3,13
1924 Summer Olympics,8,1924,Australia,AUS,3,1,2,6
1924 Summer Olympics,8,1924,United States,USA,45,27,27,99
1924 Summer Olympics,8,1924,Denmark,DEN,2,6,3,11
1924 Summer Olympics,8,1924,Yugoslavia,YUG,2,0,0,2
1924 Summer Olympics,8,1924,Czechoslovakia,TCH,1,4,5,10
1924 Summer Olympics,8,1924,Argentina,ARG,1,3,2,6
1924 Summer Olympics,8,1924,Estonia,EST,1,1,4,6
1924 Summer Olympics,8,1924,South Africa,RSA,1,1,1,3
1924 Summer Olympics,8,1924,Luxembourg,LUX,1,1,0,2
1924 Summer Olympics,8,1924,Greece,GRE,1,0,0,1
1924 Summer Olympics,8,1924,Uruguay,URU,1,0,0,1
1924 Summer Olympics,8,1924,Austria,AUT,0,3,1,4
1924 Summer Olympics,8,1924,Canada,CAN,0,3,1,4
1924 Summer Olympics,8,1924,Ireland,IRL,0,1,1,2
1924 Summer Olympics,8,1924,Poland,POL,0,1,1,2
1924 Summer Olympics,8,1924,Hungary,HUN,2,4,4,10
1924 Summer Olympics,8,1924,Haiti,HAI,0,0,1,1
1924 Summer Olympics,8,1924,Japan,JPN,0,0,1,1
