edition,edition_id,year,country,country_noc,gold,silver,bronze,total
2010 Winter Olympics,57,2010,Australia,AUS,2,1,0,3
2010 Winter Olympics,57,2010,Czechia,CZE,2,0,4,6
2010 Winter Olympics,57,2010,Poland,POL,1,3,2,6
2010 Winter Olympics,57,2010,Italy,ITA,1,1,3,5
2010 Winter Olympics,57,2010,Kazakhstan,KAZ,0,1,0,1
2010 Winter Olympics,57,2010,Estonia,EST,0,1,0,1
2010 Winter Olympics,57,2010,Japan,JPN,0,3,2,5
2010 Winter Olympics,57,2010,Latvia,LAT,0,2,0,2
2010 Winter Olympics,57,2010,Slovenia,SLO,0,2,1,3
2010 Winter Olympics,57,2010,Croatia,CRO,0,2,1,3
2010 Winter Olympics,57,2010,France,FRA,2,3,6,11
2010 Winter Olympics,57,2010,Great Britain,GBR,1,0,0,1
2010 Winter Olympics,57,2010,Finland,FIN,0,1,4,5
2010 Winter Olympics,57,2010,Russian Federation,RUS,3,5,7,15
2010 Winter Olympics,57,2010,Norway,NOR,9,8,6,23
2010 Winter Olympics,57,2010,Austria,AUT,4,6,6,16
2010 Winter Olympics,57,2010,Sweden,SWE,5,2,4,11
2010 Winter Olympics,57,2010,People's Republic of China,CHN,5,2,4,11
2010 Winter Olympics,57,2010,Switzerland,SUI,6,0,3,9
2010 Winter Olympics,57,2010,Republic of Korea,KOR,6,6,2,14
2010 Winter Olympics,57,2010,Slovakia,SVK,1,1,1,3
2010 Winter Olympics,57,2010,United States,USA,9,15,13,37
2010 Winter Olympics,57,2010,Germany,GER,10,13,7,30
2010 Winter Olympics,57,2010,Canada,CAN,14,7,5,26
2010 Winter Olympics,57,2010,Netherlands,NED,4,1,3,8
2010 Winter Olympics,57,2010,Belarus,BLR,1,1,1,3
