edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1956 Equestrian,48,1956,Sweden,SWE,3,0,0,3
1956 Equestrian,48,1956,Germany,GER,2,3,1,6
1956 Equestrian,48,1956,Great Britain,GBR,1,0,2,3
1956 Equestrian,48,1956,Italy,ITA,0,2,1,3
1956 Equestrian,48,1956,Denmark,DEN,0,1,0,1
1956 Equestrian,48,1956,Canada,CAN,0,0,1,1
1956 Equestrian,48,1956,Switzerland,SUI,0,0,1,1
1956 Winter Olympics,35,1956,Germany,GER,1,0,1,2
1956 Summer Olympics,14,1956,India,IND,1,0,0,1
1956 Winter Olympics,35,1956,Austria,AUT,4,3,4,11
1956 Winter Olympics,35,1956,Finland,FIN,3,3,1,7
1956 Winter Olympics,35,1956,Switzerland,SUI,3,2,1,6
1956 Winter Olympics,35,1956,Sweden,SWE,2,4,4,10
1956 Winter Olympics,35,1956,United States,USA,2,3,2,7
1956 Winter Olympics,35,1956,Norway,NOR,2,1,1,4
1956 Winter Olympics,35,1956,Poland,POL,0,0,1,1
1956 Winter Olympics,35,1956,Hungary,HUN,0,0,1,1
1956 Winter Olympics,35,1956,Japan,JPN,0,1,0,1
1956 Winter Olympics,35,1956,Canada,CAN,0,1,2,3
1956 Winter Olympics,35,1956,Italy,ITA,1,2,0,3
1956 Winter Olympics,35,1956,Soviet Union,URS,7,3,6,16
1956 Summer Olympics,14,1956,Yugoslavia,YUG,0,3,0,3
1956 Summer Olympics,14,1956,United States,USA,32,25,17,74
1956 Summer Olympics,14,1956,Denmark,DEN,1,1,1,3
1956 Summer Olympics,14,1956,Norway,NOR,1,0,2,3
1956 Summer Olympics,14,1956,Austria,AUT,0,0,2,2
1956 Summer Olympics,14,1956,Brazil,BRA,1,0,0,1
1956 Summer Olympics,14,1956,Soviet Union,URS,37,29,32,98
1956 Summer Olympics,14,1956,Uruguay,URU,0,0,1,1
1956 Summer Olympics,14,1956,Ireland,IRL,1,1,3,5
1956 Summer Olympics,14,1956,The Bahamas,BAH,0,0,1,1
1956 Summer Olympics,14,1956,Belgium,BEL,0,2,0,2
1956 Summer Olympics,14,1956,Argentina,ARG,0,1,1,2
1956 Summer Olympics,14,1956,Republic of Korea,KOR,0,1,1,2
1956 Summer Olympics,14,1956,Iceland,ISL,0,1,0,1
1956 Summer Olympics,14,1956,Pakistan,PAK,0,1,0,1
1956 Summer Olympics,14,1956,South Africa,RSA,0,0,4,4
1956 Summer Olympics,14,1956,Chile,CHI,0,2,2,4
1956 Summer Olympics,14,1956,Bulgaria,BUL,1,3,1,5
1956 Summer Olympics,14,1956,Mexico,MEX,1,0,1,2
1956 Summer Olympics,14,1956,Poland,POL,1,4,4,9
1956 Summer Olympics,14,1956,Australia,AUS,13,8,14,35
1956 Summer Olympics,14,1956,Hungary,HUN,9,10,7,26
1956 Summer Olympics,14,1956,Italy,ITA,8,6,8,22
1956 Summer Olympics,14,1956,Great Britain,GBR,5,7,9,21
1956 Summer Olympics,14,1956,Sweden,SWE,5,5,6,16
1956 Summer Olympics,14,1956,Romania,ROU,5,3,5,13
1956 Summer Olympics,14,1956,Germany,GER,4,10,6,20
1956 Summer Olympics,14,1956,Japan,JPN,4,10,5,19
1956 Summer Olympics,14,1956,France,FRA,4,4,6,14
1956 Summer Olympics,14,1956,Czechoslovakia,TCH,1,4,1,6
1956 Summer Olympics,14,1956,Greece,GRE,0,0,1,1
1956 Summer Olympics,14,1956,Türkiye,TUR,3,2,2,7
1956 Summer Olympics,14,1956,Finland,FIN,3,1,11,15
1956 Summer Olympics,14,1956,Islamic Republic of Iran,IRI,2,2,1,5
1956 Summer Olympics,14,1956,Canada,CAN,2,1,2,5
1956 Summer Olympics,14,1956,New Zealand,NZL,2,0,0,2
