edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1932 Winter Olympics,31,1932,Norway,NOR,3,4,3,10
1932 Winter Olympics,31,1932,United States,USA,6,4,2,12
1932 Winter Olympics,31,1932,Sweden,SWE,1,2,0,3
1932 Winter Olympics,31,1932,Austria,AUT,1,1,0,2
1932 Winter Olympics,31,1932,Finland,FIN,1,1,1,3
1932 Summer Olympics,10,1932,Austria,AUT,1,1,3,5
1932 Summer Olympics,10,1932,Czechoslovakia,TCH,1,3,2,6
1932 Summer Olympics,10,1932,Ireland,IRL,2,0,0,2
1932 Summer Olympics,10,1932,South Africa,RSA,2,0,3,5
1932 Summer Olympics,10,1932,Netherlands,NED,2,5,1,8
1932 Summer Olympics,10,1932,Canada,CAN,2,5,9,16
1932 Summer Olympics,10,1932,Argentina,ARG,3,1,0,4
1932 Summer Olympics,10,1932,Australia,AUS,3,1,1,5
1932 Summer Olympics,10,1932,India,IND,1,0,0,1
1932 Summer Olympics,10,1932,Poland,POL,3,2,4,9
1932 Summer Olympics,10,1932,Finland,FIN,5,8,12,25
1932 Summer Olympics,10,1932,Germany,GER,5,12,7,24
1932 Summer Olympics,10,1932,Hungary,HUN,6,5,5,16
1932 Summer Olympics,10,1932,Japan,JPN,7,7,4,18
1932 Summer Olympics,10,1932,Sweden,SWE,10,5,9,24
1932 Summer Olympics,10,1932,France,FRA,11,5,4,20
1932 Summer Olympics,10,1932,Italy,ITA,12,12,12,36
1932 Summer Olympics,10,1932,United States,USA,44,36,30,110
1932 Summer Olympics,10,1932,Great Britain,GBR,5,7,5,17
1932 Winter Olympics,31,1932,Canada,CAN,1,1,5,7
1932 Summer Olympics,10,1932,Denmark,DEN,0,5,3,8
1932 Summer Olympics,10,1932,Latvia,LAT,0,1,0,1
1932 Summer Olympics,10,1932,New Zealand,NZL,0,1,0,1
1932 Winter Olympics,31,1932,France,FRA,1,0,0,1
1932 Summer Olympics,10,1932,Switzerland,SUI,0,1,0,1
1932 Summer Olympics,10,1932,Philippines,PHI,0,0,3,3
1932 Summer Olympics,10,1932,Belgium,BEL,0,0,1,1
1932 Summer Olympics,10,1932,Spain,ESP,0,0,1,1
1932 Summer Olympics,10,1932,Uruguay,URU,0,0,1,1
1932 Winter Olympics,31,1932,Switzerland,SUI,0,1,0,1
1932 Winter Olympics,31,1932,Germany,GER,0,0,2,2
1932 Summer Olympics,10,1932,Mexico,MEX,0,2,0,2
1932 Winter Olympics,31,1932,Hungary,HUN,0,0,1,1
