edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1900 Summer Olympics,2,1900,Hungary,HUN,1,2,2,5
1900 Summer Olympics,2,1900,Sweden,SWE,0,0,1,1
1900 Summer Olympics,2,1900,Australia,AUS,0,0,3,3
1900 Summer Olympics,2,1900,India,IND,0,2,0,2
1900 Summer Olympics,2,1900,Norway,NOR,0,2,3,5
1900 Summer Olympics,2,1900,Austria,AUT,0,3,3,6
1900 Summer Olympics,2,1900,Spain,ESP,1,0,0,1
1900 Summer Olympics,2,1900,Cuba,CUB,1,1,0,2
1900 Summer Olympics,2,1900,Netherlands,NED,1,2,3,6
1900 Summer Olympics,2,1900,Bohemia,BOH,0,1,1,2
1900 Summer Olympics,2,1900,Denmark,DEN,1,3,2,6
1900 Summer Olympics,2,1900,Italy,ITA,3,2,0,5
1900 Summer Olympics,2,1900,Germany,GER,4,3,2,9
1900 Summer Olympics,2,1900,Switzerland,SUI,6,3,1,10
1900 Summer Olympics,2,1900,Belgium,BEL,6,6,6,18
1900 Summer Olympics,2,1900,Great Britain,GBR,20,8,9,37
1900 Summer Olympics,2,1900,Mixed team,MIX,1,2,3,6
1900 Summer Olympics,2,1900,United States,USA,20,13,15,48
1900 Summer Olympics,2,1900,France,FRA,31,41,40,112
