edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1992 Summer Olympics,23,1992,Latvia,LAT,0,2,1,3
1992 Summer Olympics,23,1992,Nigeria,NGR,0,3,1,4
1992 Summer Olympics,23,1992,Jamaica,JAM,0,3,1,4
1992 Summer Olympics,23,1992,Switzerland,SUI,1,0,0,1
1992 Summer Olympics,23,1992,Lithuania,LTU,1,0,1,2
1992 Summer Olympics,23,1992,Estonia,EST,1,0,1,2
1992 Summer Olympics,23,1992,Algeria,ALG,1,0,1,2
1992 Summer Olympics,23,1992,Ethiopia,ETH,1,0,2,3
1992 Summer Olympics,23,1992,Ireland,IRL,1,1,0,2
1992 Summer Olympics,23,1992,Morocco,MAR,1,1,1,3
1992 Summer Olympics,23,1992,Denmark,DEN,1,1,4,6
1992 Summer Olympics,23,1992,Germany,GER,33,21,28,82
1992 Summer Olympics,23,1992,Finland,FIN,1,2,2,5
1992 Summer Olympics,23,1992,Namibia,NAM,0,2,0,2
1992 Summer Olympics,23,1992,South Africa,RSA,0,2,0,2
1992 Summer Olympics,23,1992,Belgium,BEL,0,1,2,3
1992 Summer Olympics,23,1992,Croatia,CRO,0,1,2,3
1992 Summer Olympics,23,1992,Independent Olympic Athletes,IOA,0,1,2,3
1992 Summer Olympics,23,1992,Islamic Republic of Iran,IRI,0,1,2,3
1992 Summer Olympics,23,1992,Israel,ISR,0,1,1,2
1992 Summer Olympics,23,1992,Chinese Taipei,TPE,0,1,0,1
1992 Summer Olympics,23,1992,Mexico,MEX,0,1,0,1
1992 Summer Olympics,23,1992,Peru,PER,0,1,0,1
1992 Summer Olympics,23,1992,Mongolia,MGL,0,0,2,2
1992 Summer Olympics,23,1992,Slovenia,SLO,0,0,2,2
1992 Summer Olympics,23,1992,Austria,AUT,0,2,0,2
1992 Summer Olympics,23,1992,New Zealand,NZL,1,4,5,10
1992 Summer Olympics,23,1992,Netherlands,NED,2,6,7,15
1992 Summer Olympics,23,1992,Greece,GRE,2,0,0,2
1992 Summer Olympics,23,1992,People's Republic of China,CHN,16,22,16,54
1992 Summer Olympics,23,1992,Cuba,CUB,14,6,11,31
1992 Summer Olympics,23,1992,Spain,ESP,13,7,2,22
1992 Summer Olympics,23,1992,Republic of Korea,KOR,12,5,12,29
1992 Summer Olympics,23,1992,Hungary,HUN,11,12,7,30
1992 Summer Olympics,23,1992,France,FRA,8,5,16,29
1992 Summer Olympics,23,1992,Australia,AUS,7,9,11,27
1992 Summer Olympics,23,1992,Canada,CAN,7,4,7,18
1992 Summer Olympics,23,1992,Italy,ITA,6,5,8,19
1992 Summer Olympics,23,1992,Great Britain,GBR,5,3,12,20
1992 Summer Olympics,23,1992,Unified Team,EUN,45,38,29,112
1992 Summer Olympics,23,1992,Sweden,SWE,1,7,4,12
1992 Summer Olympics,23,1992,Romania,ROU,4,6,8,18
1992 Summer Olympics,23,1992,Czechoslovakia,TCH,4,2,1,7
1992 Summer Olympics,23,1992,Democratic People's Republic of Korea,PRK,4,0,5,9
1992 Summer Olympics,23,1992,Japan,JPN,3,8,11,22
1992 Summer Olympics,23,1992,Bulgaria,BUL,3,7,6,16
1992 Summer Olympics,23,1992,Poland,POL,3,6,10,19
1992 Summer Olympics,23,1992,United States,USA,37,34,37,108
1992 Summer Olympics,23,1992,Kenya,KEN,2,4,2,8
1992 Summer Olympics,23,1992,Norway,NOR,2,4,1,7
1992 Summer Olympics,23,1992,Türkiye,TUR,2,2,2,6
1992 Summer Olympics,23,1992,Indonesia,INA,2,2,1,5
1992 Summer Olympics,23,1992,Brazil,BRA,2,1,0,3
1992 Summer Olympics,23,1992,Argentina,ARG,0,0,1,1
1992 Summer Olympics,23,1992,Colombia,COL,0,0,1,1
1992 Summer Olympics,23,1992,The Bahamas,BAH,0,0,1,1
1992 Summer Olympics,23,1992,Malaysia,MAS,0,0,1,1
1992 Winter Olympics,44,1992,Democratic People's Republic of Korea,PRK,0,0,1,1
1992 Winter Olympics,44,1992,Czechoslovakia,TCH,0,0,3,3
1992 Winter Olympics,44,1992,New Zealand,NZL,0,1,0,1
1992 Winter Olympics,44,1992,Luxembourg,LUX,0,2,0,2
1992 Winter Olympics,44,1992,People's Republic of China,CHN,0,3,0,3
1992 Winter Olympics,44,1992,Switzerland,SUI,1,0,2,3
1992 Winter Olympics,44,1992,Sweden,SWE,1,0,3,4
1992 Winter Olympics,44,1992,Netherlands,NED,1,1,2,4
1992 Winter Olympics,44,1992,Japan,JPN,1,2,4,7
1992 Winter Olympics,44,1992,Republic of Korea,KOR,2,1,1,4
1992 Winter Olympics,44,1992,Canada,CAN,2,3,2,7
1992 Winter Olympics,44,1992,Germany,GER,10,10,6,26
1992 Winter Olympics,44,1992,Unified Team,EUN,9,6,8,23
1992 Winter Olympics,44,1992,Norway,NOR,9,6,5,20
1992 Winter Olympics,44,1992,Austria,AUT,6,7,8,21
1992 Winter Olympics,44,1992,United States,USA,5,4,2,11
1992 Winter Olympics,44,1992,Italy,ITA,4,6,4,14
1992 Winter Olympics,44,1992,Spain,ESP,0,0,1,1
1992 Winter Olympics,44,1992,France,FRA,3,5,1,9
1992 Winter Olympics,44,1992,Finland,FIN,3,1,3,7
1992 Summer Olympics,23,1992,Pakistan,PAK,0,0,1,1
1992 Summer Olympics,23,1992,Philippines,PHI,0,0,1,1
1992 Summer Olympics,23,1992,Puerto Rico,PUR,0,0,1,1
1992 Summer Olympics,23,1992,Qatar,QAT,0,0,1,1
1992 Summer Olympics,23,1992,Suriname,SUR,0,0,1,1
1992 Summer Olympics,23,1992,Thailand,THA,0,0,1,1
1992 Summer Olympics,23,1992,Ghana,GHA,0,0,1,1
