edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1984 Winter Olympics,42,1984,France,FRA,0,1,2,3
1984 Winter Olympics,42,1984,Austria,AUT,0,0,1,1
1984 Winter Olympics,42,1984,Liechtenstein,LIE,0,0,2,2
1984 Winter Olympics,42,1984,East Germany,GDR,9,9,6,24
1984 Winter Olympics,42,1984,Soviet Union,URS,6,10,9,25
1984 Winter Olympics,42,1984,United States,USA,4,4,0,8
1984 Winter Olympics,42,1984,Finland,FIN,4,3,6,13
1984 Winter Olympics,42,1984,Japan,JPN,0,1,0,1
1984 Winter Olympics,42,1984,Sweden,SWE,4,2,2,8
1984 Winter Olympics,42,1984,Switzerland,SUI,2,2,1,5
1984 Winter Olympics,42,1984,Yugoslavia,YUG,0,1,0,1
1984 Winter Olympics,42,1984,West Germany,FRG,2,1,1,4
1984 Winter Olympics,42,1984,Italy,ITA,2,0,0,2
1984 Winter Olympics,42,1984,Great Britain,GBR,1,0,0,1
1984 Winter Olympics,42,1984,Czechoslovakia,TCH,0,2,4,6
1984 Winter Olympics,42,1984,Norway,NOR,3,2,4,9
1984 Winter Olympics,42,1984,Canada,CAN,2,1,1,4
1984 Summer Olympics,21,1984,Thailand,THA,0,1,0,1
1984 Summer Olympics,21,1984,West Germany,FRG,17,19,23,59
1984 Summer Olympics,21,1984,Switzerland,SUI,0,4,4,8
1984 Summer Olympics,21,1984,Denmark,DEN,0,3,3,6
1984 Summer Olympics,21,1984,Jamaica,JAM,0,1,2,3
1984 Summer Olympics,21,1984,Norway,NOR,0,1,2,3
1984 Summer Olympics,21,1984,Greece,GRE,0,1,1,2
1984 Summer Olympics,21,1984,Nigeria,NGR,0,1,1,2
1984 Summer Olympics,21,1984,Puerto Rico,PUR,0,1,1,2
1984 Summer Olympics,21,1984,Colombia,COL,0,1,0,1
1984 Summer Olympics,21,1984,Côte d'Ivoire,CIV,0,1,0,1
1984 Summer Olympics,21,1984,Pakistan,PAK,1,0,0,1
1984 Summer Olympics,21,1984,Egypt,EGY,0,1,0,1
1984 Summer Olympics,21,1984,Peru,PER,0,1,0,1
1984 Summer Olympics,21,1984,Syrian Arab Republic,SYR,0,1,0,1
1984 Summer Olympics,21,1984,Türkiye,TUR,0,0,3,3
1984 Summer Olympics,21,1984,Algeria,ALG,0,0,2,2
1984 Summer Olympics,21,1984,Cameroon,CMR,0,0,1,1
1984 Summer Olympics,21,1984,Chinese Taipei,TPE,0,0,1,1
1984 Summer Olympics,21,1984,Dominican Republic,DOM,0,0,1,1
1984 Summer Olympics,21,1984,Iceland,ISL,0,0,1,1
1984 Summer Olympics,21,1984,Zambia,ZAM,0,0,1,1
1984 Summer Olympics,21,1984,Ireland,IRL,0,1,0,1
1984 Summer Olympics,21,1984,Portugal,POR,1,0,2,3
1984 Summer Olympics,21,1984,Venezuela,VEN,0,0,3,3
1984 Summer Olympics,21,1984,Austria,AUT,1,1,1,3
1984 Summer Olympics,21,1984,Kenya,KEN,1,0,2,3
1984 Summer Olympics,21,1984,United States,USA,83,61,30,174
1984 Summer Olympics,21,1984,Romania,ROU,20,16,17,53
1984 Summer Olympics,21,1984,People's Republic of China,CHN,15,8,9,32
1984 Summer Olympics,21,1984,Canada,CAN,10,18,16,44
1984 Summer Olympics,21,1984,Japan,JPN,10,8,14,32
1984 Summer Olympics,21,1984,New Zealand,NZL,8,1,2,11
1984 Summer Olympics,21,1984,Yugoslavia,YUG,7,4,7,18
1984 Summer Olympics,21,1984,Republic of Korea,KOR,6,6,7,19
1984 Summer Olympics,21,1984,Great Britain,GBR,5,11,21,37
1984 Summer Olympics,21,1984,Italy,ITA,14,6,12,32
1984 Summer Olympics,21,1984,Netherlands,NED,5,2,6,13
1984 Summer Olympics,21,1984,France,FRA,5,7,16,28
1984 Summer Olympics,21,1984,Spain,ESP,1,2,2,5
1984 Summer Olympics,21,1984,Belgium,BEL,1,1,2,4
1984 Summer Olympics,21,1984,Morocco,MAR,2,0,0,2
1984 Summer Olympics,21,1984,Brazil,BRA,1,5,2,8
1984 Summer Olympics,21,1984,Sweden,SWE,2,11,6,19
1984 Summer Olympics,21,1984,Finland,FIN,4,2,6,12
1984 Summer Olympics,21,1984,Australia,AUS,4,8,12,24
1984 Summer Olympics,21,1984,Mexico,MEX,2,3,1,6
