edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1968 Summer Olympics,17,1968,Kenya,KEN,3,4,2,9
1968 Summer Olympics,17,1968,Australia,AUS,5,7,5,17
1968 Summer Olympics,17,1968,Italy,ITA,3,4,9,16
1968 Summer Olympics,17,1968,Romania,ROU,4,6,5,15
1968 Summer Olympics,17,1968,Poland,POL,5,2,11,18
1968 Summer Olympics,17,1968,Great Britain,GBR,5,5,3,13
1968 Summer Olympics,17,1968,West Germany,FRG,5,11,10,26
1968 Winter Olympics,38,1968,Austria,AUT,3,4,4,11
1968 Summer Olympics,17,1968,France,FRA,7,3,5,15
1968 Summer Olympics,17,1968,East Germany,GDR,9,9,7,25
1968 Summer Olympics,17,1968,Hungary,HUN,10,10,12,32
1968 Summer Olympics,17,1968,Japan,JPN,11,7,7,25
1968 Summer Olympics,17,1968,Soviet Union,URS,29,32,30,91
1968 Summer Olympics,17,1968,United States,USA,45,28,34,107
1968 Summer Olympics,17,1968,Mexico,MEX,3,3,3,9
1968 Summer Olympics,17,1968,Czechoslovakia,TCH,7,2,4,13
1968 Summer Olympics,17,1968,Yugoslavia,YUG,3,3,2,8
1968 Summer Olympics,17,1968,Netherlands,NED,3,3,1,7
1968 Summer Olympics,17,1968,Bulgaria,BUL,2,4,3,9
1968 Summer Olympics,17,1968,Chinese Taipei,TPE,0,0,1,1
1968 Summer Olympics,17,1968,Greece,GRE,0,0,1,1
1968 Summer Olympics,17,1968,India,IND,0,0,1,1
1968 Winter Olympics,38,1968,Netherlands,NED,3,3,3,9
1968 Winter Olympics,38,1968,Romania,ROU,0,0,1,1
1968 Winter Olympics,38,1968,Switzerland,SUI,0,2,4,6
1968 Winter Olympics,38,1968,Canada,CAN,1,1,1,3
1968 Winter Olympics,38,1968,Czechoslovakia,TCH,1,2,1,4
1968 Winter Olympics,38,1968,Finland,FIN,1,2,2,5
1968 Winter Olympics,38,1968,East Germany,GDR,1,2,2,5
1968 Winter Olympics,38,1968,United States,USA,1,5,1,7
1968 Winter Olympics,38,1968,West Germany,FRG,2,2,3,7
1968 Winter Olympics,38,1968,Sweden,SWE,3,2,3,8
1968 Winter Olympics,38,1968,Norway,NOR,6,6,2,14
1968 Winter Olympics,38,1968,Soviet Union,URS,5,5,3,13
1968 Winter Olympics,38,1968,France,FRA,4,3,2,9
1968 Winter Olympics,38,1968,Italy,ITA,4,0,0,4
1968 Summer Olympics,17,1968,Argentina,ARG,0,0,2,2
1968 Summer Olympics,17,1968,Jamaica,JAM,0,1,0,1
1968 Summer Olympics,17,1968,Sweden,SWE,2,1,1,4
1968 Summer Olympics,17,1968,Uganda,UGA,0,1,1,2
1968 Summer Olympics,17,1968,Cameroon,CMR,0,1,0,1
1968 Summer Olympics,17,1968,Cuba,CUB,0,4,0,4
1968 Summer Olympics,17,1968,Venezuela,VEN,1,0,0,1
1968 Summer Olympics,17,1968,Pakistan,PAK,1,0,0,1
1968 Summer Olympics,17,1968,Tunisia,TUN,1,0,1,2
1968 Summer Olympics,17,1968,New Zealand,NZL,1,0,2,3
1968 Summer Olympics,17,1968,Norway,NOR,1,1,0,2
1968 Summer Olympics,17,1968,Ethiopia,ETH,1,1,0,2
1968 Summer Olympics,17,1968,Austria,AUT,0,2,2,4
1968 Summer Olympics,17,1968,Finland,FIN,1,2,1,4
1968 Summer Olympics,17,1968,Denmark,DEN,1,4,3,8
1968 Summer Olympics,17,1968,Switzerland,SUI,0,1,4,5
1968 Summer Olympics,17,1968,Türkiye,TUR,2,0,0,2
1968 Summer Olympics,17,1968,Islamic Republic of Iran,IRI,2,1,2,5
1968 Summer Olympics,17,1968,Mongolia,MGL,0,1,3,4
1968 Summer Olympics,17,1968,Brazil,BRA,0,1,2,3
1968 Summer Olympics,17,1968,Belgium,BEL,0,1,1,2
1968 Summer Olympics,17,1968,Republic of Korea,KOR,0,1,1,2
1968 Summer Olympics,17,1968,Canada,CAN,1,3,1,5
