edition,edition_id,year,country,country_noc,gold,silver,bronze,total
2018 Winter Olympics,60,2018,Belarus,BLR,2,1,0,3
2018 Winter Olympics,60,2018,People's Republic of China,CHN,1,6,2,9
2018 Winter Olympics,60,2018,Slovakia,SVK,1,2,0,3
2018 Winter Olympics,60,2018,Finland,FIN,1,1,4,6
2018 Winter Olympics,60,2018,Ukraine,UKR,1,0,0,1
2018 Winter Olympics,60,2018,Poland,POL,1,0,1,2
2018 Winter Olympics,60,2018,Hungary,HUN,1,0,0,1
2018 Winter Olympics,60,2018,Australia,AUS,0,2,1,3
2018 Winter Olympics,60,2018,Czechia,CZE,2,2,3,7
2018 Winter Olympics,60,2018,Great Britain,GBR,1,0,4,5
2018 Winter Olympics,60,2018,ROC,ROC,2,6,9,17
2018 Winter Olympics,60,2018,Sweden,SWE,7,6,1,14
2018 Winter Olympics,60,2018,Japan,JPN,4,5,4,13
2018 Winter Olympics,60,2018,Austria,AUT,5,3,6,14
2018 Winter Olympics,60,2018,France,FRA,5,4,6,15
2018 Winter Olympics,60,2018,Switzerland,SUI,5,6,4,15
2018 Winter Olympics,60,2018,Republic of Korea,KOR,5,8,4,17
2018 Winter Olympics,60,2018,Slovenia,SLO,0,1,1,2
2018 Winter Olympics,60,2018,Netherlands,NED,8,6,6,20
2018 Winter Olympics,60,2018,United States,USA,9,8,6,23
2018 Winter Olympics,60,2018,Canada,CAN,11,8,10,29
2018 Winter Olympics,60,2018,Germany,GER,14,10,7,31
2018 Winter Olympics,60,2018,Norway,NOR,14,14,11,39
2018 Winter Olympics,60,2018,Italy,ITA,3,2,5,10
2018 Winter Olympics,60,2018,Belgium,BEL,0,1,0,1
2018 Winter Olympics,60,2018,Liechtenstein,LIE,0,0,1,1
2018 Winter Olympics,60,2018,Spain,ESP,0,0,2,2
2018 Winter Olympics,60,2018,Kazakhstan,KAZ,0,0,1,1
2018 Winter Olympics,60,2018,Latvia,LAT,0,0,1,1
2018 Winter Olympics,60,2018,New Zealand,NZL,0,0,2,2
