edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1964 Winter Olympics,37,1964,Italy,ITA,0,1,3,4
1964 Winter Olympics,37,1964,Great Britain,GBR,1,0,0,1
1964 Winter Olympics,37,1964,Netherlands,NED,1,1,0,2
1964 Winter Olympics,37,1964,Canada,CAN,1,1,1,3
1964 Winter Olympics,37,1964,United States,USA,1,2,4,7
1964 Winter Olympics,37,1964,Sweden,SWE,3,3,1,7
1964 Winter Olympics,37,1964,Finland,FIN,3,4,3,10
1964 Winter Olympics,37,1964,France,FRA,3,4,0,7
1964 Winter Olympics,37,1964,Norway,NOR,3,6,6,15
1964 Winter Olympics,37,1964,Austria,AUT,4,5,3,12
1964 Winter Olympics,37,1964,Soviet Union,URS,11,8,6,25
1964 Winter Olympics,37,1964,Democratic People's Republic of Korea,PRK,0,1,0,1
1964 Winter Olympics,37,1964,Germany,GER,3,3,3,9
1964 Winter Olympics,37,1964,Czechoslovakia,TCH,0,0,1,1
1964 Summer Olympics,16,1964,New Zealand,NZL,3,0,2,5
1964 Summer Olympics,16,1964,Tunisia,TUN,0,1,1,2
1964 Summer Olympics,16,1964,Switzerland,SUI,1,2,1,4
1964 Summer Olympics,16,1964,India,IND,1,0,0,1
1964 Summer Olympics,16,1964,The Bahamas,BAH,1,0,0,1
1964 Summer Olympics,16,1964,Republic of Korea,KOR,0,2,1,3
1964 Summer Olympics,16,1964,Trinidad and Tobago,TTO,0,1,2,3
1964 Summer Olympics,16,1964,Argentina,ARG,0,1,0,1
1964 Summer Olympics,16,1964,Cuba,CUB,0,1,0,1
1964 Summer Olympics,16,1964,Pakistan,PAK,0,1,0,1
1964 Summer Olympics,16,1964,Philippines,PHI,0,1,0,1
1964 Summer Olympics,16,1964,Islamic Republic of Iran,IRI,0,0,2,2
1964 Summer Olympics,16,1964,Brazil,BRA,0,0,1,1
1964 Summer Olympics,16,1964,Ghana,GHA,0,0,1,1
1964 Summer Olympics,16,1964,Ireland,IRL,0,0,1,1
1964 Summer Olympics,16,1964,Kenya,KEN,0,0,1,1
1964 Summer Olympics,16,1964,Mexico,MEX,0,0,1,1
1964 Summer Olympics,16,1964,Nigeria,NGR,0,0,1,1
1964 Summer Olympics,16,1964,Uruguay,URU,0,0,1,1
1964 Summer Olympics,16,1964,Canada,CAN,1,2,1,4
1964 Summer Olympics,16,1964,France,FRA,1,8,6,15
1964 Summer Olympics,16,1964,Ethiopia,ETH,1,0,0,1
1964 Summer Olympics,16,1964,Yugoslavia,YUG,2,1,2,5
1964 Summer Olympics,16,1964,United States,USA,36,26,28,90
1964 Summer Olympics,16,1964,Soviet Union,URS,30,31,35,96
1964 Summer Olympics,16,1964,Japan,JPN,16,5,8,29
1964 Summer Olympics,16,1964,Germany,GER,10,22,18,50
1964 Summer Olympics,16,1964,Italy,ITA,10,10,7,27
1964 Summer Olympics,16,1964,Hungary,HUN,10,7,5,22
1964 Summer Olympics,16,1964,Poland,POL,7,6,10,23
1964 Summer Olympics,16,1964,Belgium,BEL,2,0,1,3
1964 Summer Olympics,16,1964,Czechoslovakia,TCH,5,6,3,14
1964 Summer Olympics,16,1964,Australia,AUS,6,2,10,18
1964 Summer Olympics,16,1964,Bulgaria,BUL,3,5,2,10
1964 Summer Olympics,16,1964,Finland,FIN,3,0,2,5
1964 Summer Olympics,16,1964,Romania,ROU,2,4,6,12
1964 Summer Olympics,16,1964,Netherlands,NED,2,4,4,10
1964 Summer Olympics,16,1964,Türkiye,TUR,2,3,1,6
1964 Summer Olympics,16,1964,Sweden,SWE,2,2,4,8
1964 Summer Olympics,16,1964,Denmark,DEN,2,1,3,6
1964 Summer Olympics,16,1964,Great Britain,GBR,4,12,2,18
