edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1988 Summer Olympics,22,1988,Pakistan,PAK,0,0,1,1
1988 Summer Olympics,22,1988,Philippines,PHI,0,0,1,1
1988 Summer Olympics,22,1988,Mongolia,MGL,0,0,1,1
1988 Summer Olympics,22,1988,Greece,GRE,0,0,1,1
1988 Summer Olympics,22,1988,Djibouti,DJI,0,0,1,1
1988 Summer Olympics,22,1988,Colombia,COL,0,0,1,1
1988 Summer Olympics,22,1988,Mexico,MEX,0,0,2,2
1988 Summer Olympics,22,1988,Peru,PER,0,1,0,1
1988 Summer Olympics,22,1988,United States Virgin Islands,ISV,0,1,0,1
1988 Summer Olympics,22,1988,Senegal,SEN,0,1,0,1
1988 Summer Olympics,22,1988,Netherlands Antilles,AHO,0,1,0,1
1988 Summer Olympics,22,1988,Indonesia,INA,0,1,0,1
1988 Summer Olympics,22,1988,Thailand,THA,0,0,1,1
1988 Summer Olympics,22,1988,Costa Rica,CRC,0,1,0,1
1988 Summer Olympics,22,1988,Belgium,BEL,0,0,2,2
1988 Winter Olympics,43,1988,Liechtenstein,LIE,0,0,1,1
1988 Winter Olympics,43,1988,Austria,AUT,3,5,2,10
1988 Winter Olympics,43,1988,Czechoslovakia,TCH,0,1,2,3
1988 Summer Olympics,22,1988,Chile,CHI,0,1,0,1
1988 Winter Olympics,43,1988,Soviet Union,URS,11,9,9,29
1988 Winter Olympics,43,1988,East Germany,GDR,9,10,6,25
1988 Winter Olympics,43,1988,Switzerland,SUI,5,5,5,15
1988 Winter Olympics,43,1988,Finland,FIN,4,1,2,7
1988 Winter Olympics,43,1988,Sweden,SWE,4,0,2,6
1988 Winter Olympics,43,1988,Japan,JPN,0,0,1,1
1988 Winter Olympics,43,1988,Netherlands,NED,3,2,2,7
1988 Winter Olympics,43,1988,United States,USA,2,1,3,6
1988 Winter Olympics,43,1988,Italy,ITA,2,1,2,5
1988 Winter Olympics,43,1988,France,FRA,1,0,1,2
1988 Winter Olympics,43,1988,Norway,NOR,0,3,2,5
1988 Winter Olympics,43,1988,Canada,CAN,0,2,3,5
1988 Winter Olympics,43,1988,Yugoslavia,YUG,0,2,1,3
1988 Winter Olympics,43,1988,West Germany,FRG,2,4,2,8
1988 Summer Olympics,22,1988,Argentina,ARG,0,1,1,2
1988 Summer Olympics,22,1988,Islamic Republic of Iran,IRI,0,1,0,1
1988 Summer Olympics,22,1988,Switzerland,SUI,0,2,2,4
1988 Summer Olympics,22,1988,Australia,AUS,3,6,5,14
1988 Summer Olympics,22,1988,Japan,JPN,4,3,7,14
1988 Summer Olympics,22,1988,Kenya,KEN,5,2,2,9
1988 Summer Olympics,22,1988,Great Britain,GBR,5,10,9,24
1988 Summer Olympics,22,1988,People's Republic of China,CHN,5,11,12,28
1988 Summer Olympics,22,1988,Italy,ITA,6,4,4,14
1988 Summer Olympics,22,1988,France,FRA,6,4,6,16
1988 Summer Olympics,22,1988,Romania,ROU,7,11,6,24
1988 Summer Olympics,22,1988,Bulgaria,BUL,10,12,13,35
1988 Summer Olympics,22,1988,Hungary,HUN,11,6,6,23
1988 Summer Olympics,22,1988,West Germany,FRG,11,14,15,40
1988 Summer Olympics,22,1988,Jamaica,JAM,0,2,0,2
1988 Summer Olympics,22,1988,United States,USA,36,31,27,94
1988 Summer Olympics,22,1988,East Germany,GDR,37,35,30,102
1988 Summer Olympics,22,1988,Soviet Union,URS,55,31,46,132
1988 Summer Olympics,22,1988,Yugoslavia,YUG,3,4,5,12
1988 Summer Olympics,22,1988,Czechoslovakia,TCH,3,3,2,8
1988 Summer Olympics,22,1988,Republic of Korea,KOR,12,10,11,33
1988 Summer Olympics,22,1988,Finland,FIN,1,1,2,4
1988 Summer Olympics,22,1988,Morocco,MAR,1,0,2,3
1988 Summer Olympics,22,1988,Türkiye,TUR,1,1,0,2
1988 Summer Olympics,22,1988,Spain,ESP,1,1,2,4
1988 Summer Olympics,22,1988,Suriname,SUR,1,0,0,1
1988 Summer Olympics,22,1988,Brazil,BRA,1,2,3,6
1988 Summer Olympics,22,1988,Denmark,DEN,2,1,1,4
1988 Summer Olympics,22,1988,Netherlands,NED,2,2,5,9
1988 Summer Olympics,22,1988,Norway,NOR,2,3,0,5
1988 Summer Olympics,22,1988,Sweden,SWE,0,4,7,11
1988 Summer Olympics,22,1988,Poland,POL,2,5,9,16
1988 Summer Olympics,22,1988,Canada,CAN,3,2,5,10
1988 Summer Olympics,22,1988,New Zealand,NZL,3,2,8,13
1988 Summer Olympics,22,1988,Austria,AUT,1,0,0,1
1988 Summer Olympics,22,1988,Portugal,POR,1,0,0,1
