edition,edition_id,year,country,country_noc,gold,silver,bronze,total
2014 Winter Olympics,58,2014,Kazakhstan,KAZ,0,0,1,1
2014 Winter Olympics,58,2014,Russian Federation,RUS,10,10,9,29
2014 Winter Olympics,58,2014,Norway,NOR,11,6,9,26
2014 Winter Olympics,58,2014,Croatia,CRO,0,1,0,1
2014 Winter Olympics,58,2014,Italy,ITA,0,2,6,8
2014 Winter Olympics,58,2014,Slovakia,SVK,1,0,0,1
2014 Winter Olympics,58,2014,Ukraine,UKR,1,0,1,2
2014 Winter Olympics,58,2014,Latvia,LAT,1,1,3,5
2014 Winter Olympics,58,2014,Great Britain,GBR,1,1,3,5
2014 Winter Olympics,58,2014,Finland,FIN,1,3,1,5
2014 Winter Olympics,58,2014,Japan,JPN,1,4,3,8
2014 Winter Olympics,58,2014,Slovenia,SLO,2,2,4,8
2014 Winter Olympics,58,2014,Czechia,CZE,2,4,3,9
2014 Winter Olympics,58,2014,Sweden,SWE,2,7,6,15
2014 Winter Olympics,58,2014,Australia,AUS,0,2,1,3
2014 Winter Olympics,58,2014,People's Republic of China,CHN,3,4,2,9
2014 Winter Olympics,58,2014,Poland,POL,4,1,1,6
2014 Winter Olympics,58,2014,France,FRA,4,4,7,15
2014 Winter Olympics,58,2014,Austria,AUT,4,8,5,17
2014 Winter Olympics,58,2014,Belarus,BLR,5,0,1,6
2014 Winter Olympics,58,2014,Switzerland,SUI,7,2,2,11
2014 Winter Olympics,58,2014,Germany,GER,8,6,5,19
2014 Winter Olympics,58,2014,Netherlands,NED,8,7,9,24
2014 Winter Olympics,58,2014,Republic of Korea,KOR,3,3,2,8
2014 Winter Olympics,58,2014,Canada,CAN,10,10,5,25
2014 Winter Olympics,58,2014,United States,USA,9,9,10,28
