edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1906 Intercalated,4,1906,United States,USA,12,6,6,24
1906 Intercalated,4,1906,Greece,GRE,8,14,13,35
1906 Intercalated,4,1906,Great Britain,GBR,8,11,5,24
1906 Intercalated,4,1906,Italy,ITA,7,6,3,16
1906 Intercalated,4,1906,Germany,GER,4,6,5,15
1906 Intercalated,4,1906,Switzerland,SUI,4,3,1,8
1906 Intercalated,4,1906,Austria,AUT,3,3,3,9
1906 Intercalated,4,1906,Sweden,SWE,2,5,7,14
1906 Intercalated,4,1906,Hungary,HUN,2,5,3,10
1906 Intercalated,4,1906,Belgium,BEL,2,2,3,7
1906 Intercalated,4,1906,Finland,FIN,2,1,1,4
1906 Intercalated,4,1906,Canada,CAN,1,1,0,2
1906 Intercalated,4,1906,Norway,NOR,1,1,0,2
1906 Intercalated,4,1906,Netherlands,NED,0,1,2,3
1906 Intercalated,4,1906,France,FRA,15,9,16,40
1906 Intercalated,4,1906,Denmark,DEN,3,2,1,6
1906 Intercalated,4,1906,Australia,AUS,0,0,3,3
1906 Intercalated,4,1906,Bohemia,BOH,0,0,2,2
