edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1948 Winter Olympics,33,1948,Norway,NOR,4,3,3,10
1948 Summer Olympics,12,1948,Portugal,POR,0,1,1,2
1948 Summer Olympics,12,1948,Yugoslavia,YUG,0,2,0,2
1948 Summer Olympics,12,1948,Canada,CAN,0,2,2,4
1948 Summer Olympics,12,1948,Peru,PER,1,0,0,1
1948 Summer Olympics,12,1948,India,IND,1,0,0,1
1948 Summer Olympics,12,1948,Poland,POL,1,0,1,2
1948 Summer Olympics,12,1948,Jamaica,JAM,1,2,0,3
1948 Summer Olympics,12,1948,Norway,NOR,1,3,3,7
1948 Summer Olympics,12,1948,Uruguay,URU,0,1,1,2
1948 Summer Olympics,12,1948,Cuba,CUB,0,1,0,1
1948 Summer Olympics,12,1948,Egypt,EGY,2,2,1,5
1948 Summer Olympics,12,1948,South Africa,RSA,2,2,2,6
1948 Summer Olympics,12,1948,Belgium,BEL,2,2,3,7
1948 Summer Olympics,12,1948,Austria,AUT,2,2,4,8
1948 Summer Olympics,12,1948,Australia,AUS,2,6,5,13
1948 Summer Olympics,12,1948,Argentina,ARG,3,3,1,7
1948 Summer Olympics,12,1948,Great Britain,GBR,4,16,7,27
1948 Summer Olympics,12,1948,Netherlands,NED,5,2,9,16
1948 Summer Olympics,12,1948,Mexico,MEX,2,1,2,5
1948 Winter Olympics,33,1948,Sweden,SWE,4,3,3,10
1948 Summer Olympics,12,1948,Spain,ESP,0,1,0,1
1948 Winter Olympics,33,1948,Hungary,HUN,0,1,0,1
1948 Summer Olympics,12,1948,Denmark,DEN,5,8,9,22
1948 Summer Olympics,12,1948,Switzerland,SUI,5,12,6,23
1948 Summer Olympics,12,1948,Czechoslovakia,TCH,6,2,3,11
1948 Summer Olympics,12,1948,Türkiye,TUR,6,4,2,12
1948 Winter Olympics,33,1948,Switzerland,SUI,3,4,3,10
1948 Summer Olympics,12,1948,Hungary,HUN,10,5,13,28
1948 Summer Olympics,12,1948,Finland,FIN,10,8,6,24
1948 Summer Olympics,12,1948,France,FRA,11,6,15,32
1948 Winter Olympics,33,1948,Great Britain,GBR,0,0,2,2
1948 Summer Olympics,12,1948,Sweden,SWE,17,11,18,46
1948 Winter Olympics,33,1948,United States,USA,3,4,2,9
1948 Winter Olympics,33,1948,France,FRA,2,1,2,5
1948 Winter Olympics,33,1948,Canada,CAN,2,0,1,3
1948 Winter Olympics,33,1948,Austria,AUT,1,3,4,8
1948 Winter Olympics,33,1948,Finland,FIN,1,3,2,6
1948 Winter Olympics,33,1948,Belgium,BEL,1,1,0,2
1948 Winter Olympics,33,1948,Italy,ITA,1,0,0,1
1948 Winter Olympics,33,1948,Czechoslovakia,TCH,0,1,0,1
1948 Summer Olympics,12,1948,United States,USA,38,27,19,84
1948 Summer Olympics,12,1948,Italy,ITA,9,12,10,31
1948 Summer Olympics,12,1948,Sri Lanka,SRI,0,1,0,1
1948 Summer Olympics,12,1948,Ireland,IRL,0,0,1,1
1948 Summer Olympics,12,1948,Trinidad and Tobago,TTO,0,1,0,1
1948 Summer Olympics,12,1948,Panama,PAN,0,0,2,2
1948 Summer Olympics,12,1948,Republic of Korea,KOR,0,0,2,2
1948 Summer Olympics,12,1948,Brazil,BRA,0,0,1,1
1948 Summer Olympics,12,1948,Islamic Republic of Iran,IRI,0,0,1,1
1948 Summer Olympics,12,1948,Puerto Rico,PUR,0,0,1,1
