edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1994 Winter Olympics,45,1994,Switzerland,SUI,3,4,2,9
1994 Winter Olympics,45,1994,Australia,AUS,0,0,1,1
1994 Winter Olympics,45,1994,Great Britain,GBR,0,0,2,2
1994 Winter Olympics,45,1994,Slovenia,SLO,0,0,3,3
1994 Winter Olympics,45,1994,People's Republic of China,CHN,0,1,2,3
1994 Winter Olympics,45,1994,Netherlands,NED,0,1,3,4
1994 Winter Olympics,45,1994,France,FRA,0,1,4,5
1994 Winter Olympics,45,1994,Finland,FIN,0,1,5,6
1994 Winter Olympics,45,1994,Uzbekistan,UZB,1,0,0,1
1994 Winter Olympics,45,1994,Ukraine,UKR,1,0,1,2
1994 Winter Olympics,45,1994,Kazakhstan,KAZ,1,2,0,3
1994 Winter Olympics,45,1994,Japan,JPN,1,2,2,5
1994 Winter Olympics,45,1994,Russian Federation,RUS,11,8,4,23
1994 Winter Olympics,45,1994,Norway,NOR,10,11,5,26
1994 Winter Olympics,45,1994,Germany,GER,9,7,8,24
1994 Winter Olympics,45,1994,Italy,ITA,7,5,8,20
1994 Winter Olympics,45,1994,Sweden,SWE,2,1,0,3
1994 Winter Olympics,45,1994,Republic of Korea,KOR,4,1,1,6
1994 Winter Olympics,45,1994,Canada,CAN,3,6,4,13
1994 Winter Olympics,45,1994,Austria,AUT,2,3,4,9
1994 Winter Olympics,45,1994,United States,USA,6,5,2,13
1994 Winter Olympics,45,1994,Belarus,BLR,0,2,0,2
