edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1976 Summer Olympics,19,1976,Netherlands,NED,0,2,3,5
1976 Summer Olympics,19,1976,Islamic Republic of Iran,IRI,0,1,1,2
1976 Summer Olympics,19,1976,Mongolia,MGL,0,1,0,1
1976 Summer Olympics,19,1976,Venezuela,VEN,0,1,0,1
1976 Summer Olympics,19,1976,Brazil,BRA,0,0,2,2
1976 Summer Olympics,19,1976,Austria,AUT,0,0,1,1
1976 Summer Olympics,19,1976,Bermuda,BER,0,0,1,1
1976 Summer Olympics,19,1976,Pakistan,PAK,0,0,1,1
1976 Summer Olympics,19,1976,Puerto Rico,PUR,0,0,1,1
1976 Summer Olympics,19,1976,Thailand,THA,0,0,1,1
1976 Winter Olympics,40,1976,Soviet Union,URS,13,6,8,27
1976 Winter Olympics,40,1976,East Germany,GDR,7,5,7,19
1976 Winter Olympics,40,1976,United States,USA,3,3,4,10
1976 Winter Olympics,40,1976,Norway,NOR,3,3,1,7
1976 Winter Olympics,40,1976,West Germany,FRG,2,5,3,10
1976 Winter Olympics,40,1976,Finland,FIN,2,4,1,7
1976 Winter Olympics,40,1976,Austria,AUT,2,2,2,6
1976 Winter Olympics,40,1976,Switzerland,SUI,1,3,1,5
1976 Winter Olympics,40,1976,Netherlands,NED,1,2,3,6
1976 Winter Olympics,40,1976,Italy,ITA,1,2,1,4
1976 Winter Olympics,40,1976,Canada,CAN,1,1,1,3
1976 Winter Olympics,40,1976,Great Britain,GBR,1,0,0,1
1976 Summer Olympics,19,1976,Portugal,POR,0,2,0,2
1976 Winter Olympics,40,1976,Liechtenstein,LIE,0,0,2,2
1976 Winter Olympics,40,1976,Sweden,SWE,0,0,2,2
1976 Winter Olympics,40,1976,France,FRA,0,0,1,1
1976 Summer Olympics,19,1976,Australia,AUS,0,1,4,5
1976 Summer Olympics,19,1976,Spain,ESP,0,2,0,2
1976 Winter Olympics,40,1976,Czechoslovakia,TCH,0,1,0,1
1976 Summer Olympics,19,1976,East Germany,GDR,40,25,25,90
1976 Summer Olympics,19,1976,France,FRA,2,3,4,9
1976 Summer Olympics,19,1976,Czechoslovakia,TCH,2,2,4,8
1976 Summer Olympics,19,1976,New Zealand,NZL,2,1,1,4
1976 Summer Olympics,19,1976,Republic of Korea,KOR,1,1,4,6
1976 Summer Olympics,19,1976,Switzerland,SUI,1,1,2,4
1976 Summer Olympics,19,1976,Democratic People's Republic of Korea,PRK,1,1,0,2
1976 Summer Olympics,19,1976,Italy,ITA,2,7,4,13
1976 Summer Olympics,19,1976,Jamaica,JAM,1,1,0,2
1976 Summer Olympics,19,1976,Denmark,DEN,1,0,2,3
1976 Summer Olympics,19,1976,Mexico,MEX,1,0,1,2
1976 Summer Olympics,19,1976,Trinidad and Tobago,TTO,1,0,0,1
1976 Summer Olympics,19,1976,Canada,CAN,0,5,6,11
1976 Summer Olympics,19,1976,Belgium,BEL,0,3,3,6
1976 Summer Olympics,19,1976,Soviet Union,URS,49,41,35,125
1976 Summer Olympics,19,1976,Norway,NOR,1,1,0,2
1976 Summer Olympics,19,1976,Great Britain,GBR,3,5,5,13
1976 Summer Olympics,19,1976,Yugoslavia,YUG,2,3,3,8
1976 Summer Olympics,19,1976,Bulgaria,BUL,6,9,7,22
1976 Summer Olympics,19,1976,Poland,POL,7,6,13,26
1976 Summer Olympics,19,1976,Cuba,CUB,6,4,3,13
1976 Summer Olympics,19,1976,Romania,ROU,4,9,14,27
1976 Summer Olympics,19,1976,Hungary,HUN,4,5,13,22
1976 Summer Olympics,19,1976,Finland,FIN,4,2,0,6
1976 Summer Olympics,19,1976,Sweden,SWE,4,1,0,5
1976 Summer Olympics,19,1976,Japan,JPN,9,6,10,25
1976 Summer Olympics,19,1976,West Germany,FRG,10,12,17,39
1976 Summer Olympics,19,1976,United States,USA,34,35,25,94
