edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1980 Summer Olympics,20,1980,Ethiopia,ETH,2,0,2,4
1980 Summer Olympics,20,1980,Denmark,DEN,2,1,2,5
1980 Summer Olympics,20,1980,Spain,ESP,1,3,2,6
1980 Summer Olympics,20,1980,Australia,AUS,2,2,5,9
1980 Summer Olympics,20,1980,Yugoslavia,YUG,2,3,4,9
1980 Summer Olympics,20,1980,Czechoslovakia,TCH,2,3,9,14
1980 Summer Olympics,20,1980,Finland,FIN,3,1,4,8
1980 Summer Olympics,20,1980,Austria,AUT,1,2,1,4
1980 Winter Olympics,41,1980,France,FRA,0,0,1,1
1980 Summer Olympics,20,1980,Brazil,BRA,2,0,2,4
1980 Summer Olympics,20,1980,Switzerland,SUI,2,0,0,2
1980 Summer Olympics,20,1980,Mongolia,MGL,0,2,2,4
1980 Summer Olympics,20,1980,United Republic of Tanzania,TAN,0,2,0,2
1980 Summer Olympics,20,1980,Jamaica,JAM,0,0,3,3
1980 Summer Olympics,20,1980,Venezuela,VEN,0,1,0,1
1980 Summer Olympics,20,1980,Uganda,UGA,0,1,0,1
1980 Winter Olympics,41,1980,Czechoslovakia,TCH,0,0,1,1
1980 Summer Olympics,20,1980,Ireland,IRL,0,1,1,2
1980 Summer Olympics,20,1980,Netherlands,NED,0,1,2,3
1980 Summer Olympics,20,1980,Mexico,MEX,0,1,3,4
1980 Summer Olympics,20,1980,Belgium,BEL,1,0,0,1
1980 Summer Olympics,20,1980,India,IND,1,0,0,1
1980 Summer Olympics,20,1980,Zimbabwe,ZIM,1,0,0,1
1980 Summer Olympics,20,1980,Democratic People's Republic of Korea,PRK,0,3,2,5
1980 Summer Olympics,20,1980,Greece,GRE,1,0,2,3
1980 Winter Olympics,41,1980,Bulgaria,BUL,0,0,1,1
1980 Winter Olympics,41,1980,Great Britain,GBR,1,0,0,1
1980 Winter Olympics,41,1980,Hungary,HUN,0,1,0,1
1980 Winter Olympics,41,1980,Finland,FIN,1,5,3,9
1980 Winter Olympics,41,1980,Liechtenstein,LIE,2,2,0,4
1980 Winter Olympics,41,1980,Sweden,SWE,3,0,1,4
1980 Winter Olympics,41,1980,Austria,AUT,3,2,2,7
1980 Winter Olympics,41,1980,United States,USA,6,4,2,12
1980 Winter Olympics,41,1980,East Germany,GDR,9,7,7,23
1980 Winter Olympics,41,1980,Soviet Union,URS,10,6,6,22
1980 Summer Olympics,20,1980,Sweden,SWE,3,3,6,12
1980 Summer Olympics,20,1980,Poland,POL,3,14,15,32
1980 Summer Olympics,20,1980,Great Britain,GBR,5,7,9,21
1980 Summer Olympics,20,1980,France,FRA,6,5,3,14
1980 Summer Olympics,20,1980,Romania,ROU,6,6,13,25
1980 Summer Olympics,20,1980,Hungary,HUN,7,10,15,32
1980 Summer Olympics,20,1980,Italy,ITA,8,3,4,15
1980 Summer Olympics,20,1980,Cuba,CUB,8,7,5,20
1980 Summer Olympics,20,1980,Bulgaria,BUL,8,16,17,41
1980 Summer Olympics,20,1980,East Germany,GDR,47,37,42,126
1980 Summer Olympics,20,1980,Soviet Union,URS,80,69,46,195
1980 Summer Olympics,20,1980,Lebanon,LBN,0,0,1,1
1980 Winter Olympics,41,1980,Norway,NOR,1,3,6,10
1980 Winter Olympics,41,1980,Japan,JPN,0,1,0,1
1980 Winter Olympics,41,1980,Netherlands,NED,1,2,1,4
1980 Winter Olympics,41,1980,West Germany,FRG,0,2,3,5
1980 Winter Olympics,41,1980,Canada,CAN,0,1,1,2
1980 Winter Olympics,41,1980,Italy,ITA,0,2,0,2
1980 Winter Olympics,41,1980,Switzerland,SUI,1,1,3,5
1980 Summer Olympics,20,1980,Guyana,GUY,0,0,1,1
