edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1920 Summer Olympics,7,1920,New Zealand,NZL,0,0,1,1
1920 Summer Olympics,7,1920,Czechoslovakia,TCH,0,0,2,2
1920 Summer Olympics,7,1920,Australia,AUS,0,2,1,3
1920 Summer Olympics,7,1920,Greece,GRE,0,1,0,1
1920 Summer Olympics,7,1920,United States,USA,41,27,27,95
1920 Summer Olympics,7,1920,Sweden,SWE,19,20,25,64
1920 Summer Olympics,7,1920,Belgium,BEL,16,12,14,42
1920 Summer Olympics,7,1920,Finland,FIN,15,10,9,34
1920 Summer Olympics,7,1920,Great Britain,GBR,14,16,13,43
1920 Summer Olympics,7,1920,Italy,ITA,14,6,5,25
1920 Summer Olympics,7,1920,Norway,NOR,13,10,9,32
1920 Summer Olympics,7,1920,France,FRA,9,20,13,42
1920 Summer Olympics,7,1920,Netherlands,NED,4,2,5,11
1920 Summer Olympics,7,1920,Denmark,DEN,3,9,1,13
1920 Summer Olympics,7,1920,South Africa,RSA,3,4,3,10
1920 Summer Olympics,7,1920,Canada,CAN,3,3,3,9
1920 Summer Olympics,7,1920,Switzerland,SUI,2,2,7,11
1920 Summer Olympics,7,1920,Estonia,EST,1,2,0,3
1920 Summer Olympics,7,1920,Brazil,BRA,1,1,1,3
1920 Summer Olympics,7,1920,Japan,JPN,0,2,0,2
1920 Summer Olympics,7,1920,Spain,ESP,0,2,0,2
1920 Summer Olympics,7,1920,Luxembourg,LUX,0,1,0,1
