edition,edition_id,year,country,country_noc,gold,silver,bronze,total
2006 Winter Olympics,49,2006,Croatia,CRO,1,2,0,3
2006 Winter Olympics,49,2006,Australia,AUS,1,0,1,2
2006 Winter Olympics,49,2006,Japan,JPN,1,0,0,1
2006 Winter Olympics,49,2006,Poland,POL,0,1,1,2
2006 Winter Olympics,49,2006,Belarus,BLR,0,1,0,1
2006 Winter Olympics,49,2006,Latvia,LAT,0,0,1,1
2006 Winter Olympics,49,2006,Great Britain,GBR,0,1,0,1
2006 Winter Olympics,49,2006,Slovakia,SVK,0,1,0,1
2006 Winter Olympics,49,2006,Ukraine,UKR,0,0,2,2
2006 Winter Olympics,49,2006,Czechia,CZE,1,2,1,4
2006 Winter Olympics,49,2006,Bulgaria,BUL,0,1,0,1
2006 Winter Olympics,49,2006,People's Republic of China,CHN,2,4,5,11
2006 Winter Olympics,49,2006,Finland,FIN,0,6,3,9
2006 Winter Olympics,49,2006,Estonia,EST,3,0,0,3
2006 Winter Olympics,49,2006,Norway,NOR,2,8,9,19
2006 Winter Olympics,49,2006,Germany,GER,11,12,6,29
2006 Winter Olympics,49,2006,United States,USA,9,9,7,25
2006 Winter Olympics,49,2006,Austria,AUT,9,7,7,23
2006 Winter Olympics,49,2006,Canada,CAN,7,10,7,24
2006 Winter Olympics,49,2006,Sweden,SWE,7,2,5,14
2006 Winter Olympics,49,2006,Russian Federation,RUS,8,6,8,22
2006 Winter Olympics,49,2006,Switzerland,SUI,5,4,5,14
2006 Winter Olympics,49,2006,Italy,ITA,5,0,6,11
2006 Winter Olympics,49,2006,France,FRA,3,2,4,9
2006 Winter Olympics,49,2006,Netherlands,NED,3,2,4,9
2006 Winter Olympics,49,2006,Republic of Korea,KOR,6,3,2,11
