edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1908 Summer Olympics,5,1908,Austria,AUT,0,0,1,1
1908 Summer Olympics,5,1908,Sweden,SWE,8,6,11,25
1908 Summer Olympics,5,1908,France,FRA,5,5,9,19
1908 Summer Olympics,5,1908,Germany,GER,3,5,5,13
1908 Summer Olympics,5,1908,Hungary,HUN,3,4,2,9
1908 Summer Olympics,5,1908,Canada,CAN,3,3,10,16
1908 Summer Olympics,5,1908,Norway,NOR,2,3,3,8
1908 Summer Olympics,5,1908,Italy,ITA,2,2,0,4
1908 Summer Olympics,5,1908,United States,USA,23,12,12,47
1908 Summer Olympics,5,1908,Belgium,BEL,1,5,2,8
1908 Summer Olympics,5,1908,Russian Federation,RUS,1,2,0,3
1908 Summer Olympics,5,1908,Finland,FIN,1,1,3,5
1908 Summer Olympics,5,1908,South Africa,RSA,1,1,0,2
1908 Summer Olympics,5,1908,Greece,GRE,0,3,1,4
1908 Summer Olympics,5,1908,Denmark,DEN,0,2,3,5
1908 Summer Olympics,5,1908,Bohemia,BOH,0,0,2,2
1908 Summer Olympics,5,1908,Netherlands,NED,0,0,2,2
1908 Summer Olympics,5,1908,Australasia,ANZ,1,2,2,5
1908 Summer Olympics,5,1908,Great Britain,GBR,56,51,39,146
