edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1952 Summer Olympics,13,1952,Canada,CAN,1,2,0,3
1952 Summer Olympics,13,1952,Poland,POL,1,2,1,4
1952 Summer Olympics,13,1952,Argentina,ARG,1,2,2,5
1952 Summer Olympics,13,1952,Great Britain,GBR,1,2,8,11
1952 Summer Olympics,13,1952,Japan,JPN,1,6,2,9
1952 Summer Olympics,13,1952,Türkiye,TUR,2,0,1,3
1952 Summer Olympics,13,1952,Denmark,DEN,2,1,3,6
1952 Summer Olympics,13,1952,Belgium,BEL,2,2,0,4
1952 Summer Olympics,13,1952,Netherlands,NED,0,5,0,5
1952 Summer Olympics,13,1952,Jamaica,JAM,2,3,0,5
1952 Winter Olympics,34,1952,Norway,NOR,7,3,6,16
1952 Winter Olympics,34,1952,United States,USA,4,6,1,11
1952 Winter Olympics,34,1952,Finland,FIN,3,4,2,9
1952 Winter Olympics,34,1952,Germany,GER,3,2,2,7
1952 Summer Olympics,13,1952,South Africa,RSA,2,4,4,10
1952 Winter Olympics,34,1952,Austria,AUT,2,4,2,8
1952 Summer Olympics,13,1952,Yugoslavia,YUG,1,2,0,3
1952 Summer Olympics,13,1952,Romania,ROU,1,1,2,4
1952 Summer Olympics,13,1952,Luxembourg,LUX,1,0,0,1
1952 Summer Olympics,13,1952,New Zealand,NZL,1,0,2,3
1952 Summer Olympics,13,1952,Venezuela,VEN,0,0,1,1
1952 Summer Olympics,13,1952,Bulgaria,BUL,0,0,1,1
1952 Summer Olympics,13,1952,Uruguay,URU,0,0,2,2
1952 Summer Olympics,13,1952,Trinidad and Tobago,TTO,0,0,2,2
1952 Summer Olympics,13,1952,Republic of Korea,KOR,0,0,2,2
1952 Summer Olympics,13,1952,Spain,ESP,0,1,0,1
1952 Summer Olympics,13,1952,Mexico,MEX,0,1,0,1
1952 Summer Olympics,13,1952,Ireland,IRL,0,1,0,1
1952 Summer Olympics,13,1952,Lebanon,LBN,0,1,1,2
1952 Summer Olympics,13,1952,Austria,AUT,0,1,1,2
1952 Summer Olympics,13,1952,Chile,CHI,0,2,0,2
1952 Summer Olympics,13,1952,Islamic Republic of Iran,IRI,0,3,4,7
1952 Summer Olympics,13,1952,Germany,GER,0,7,17,24
1952 Winter Olympics,34,1952,Canada,CAN,1,0,1,2
1952 Summer Olympics,13,1952,India,IND,1,0,1,2
1952 Summer Olympics,13,1952,Brazil,BRA,1,0,2,3
1952 Winter Olympics,34,1952,Italy,ITA,1,0,1,2
1952 Winter Olympics,34,1952,Switzerland,SUI,0,0,2,2
1952 Winter Olympics,34,1952,Netherlands,NED,0,3,0,3
1952 Summer Olympics,13,1952,United States,USA,40,19,17,76
1952 Summer Olympics,13,1952,Soviet Union,URS,22,30,19,71
1952 Summer Olympics,13,1952,Hungary,HUN,16,10,16,42
1952 Summer Olympics,13,1952,Sweden,SWE,12,13,10,35
1952 Summer Olympics,13,1952,Italy,ITA,8,9,4,21
1952 Summer Olympics,13,1952,Czechoslovakia,TCH,7,3,3,13
1952 Summer Olympics,13,1952,France,FRA,6,6,6,18
1952 Summer Olympics,13,1952,Finland,FIN,6,3,13,22
1952 Summer Olympics,13,1952,Australia,AUS,6,2,3,11
1952 Winter Olympics,34,1952,Great Britain,GBR,1,0,0,1
1952 Summer Olympics,13,1952,Switzerland,SUI,2,6,6,14
1952 Summer Olympics,13,1952,Norway,NOR,3,2,0,5
1952 Summer Olympics,13,1952,Egypt,EGY,0,0,1,1
1952 Winter Olympics,34,1952,Sweden,SWE,0,0,4,4
1952 Summer Olympics,13,1952,Portugal,POR,0,0,1,1
1952 Winter Olympics,34,1952,France,FRA,0,0,1,1
1952 Winter Olympics,34,1952,Hungary,HUN,0,0,1,1
