edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1928 Summer Olympics,9,1928,Belgium,BEL,0,1,2,3
1928 Summer Olympics,9,1928,South Africa,RSA,1,0,2,3
1928 Summer Olympics,9,1928,Yugoslavia,YUG,1,1,3,5
1928 Summer Olympics,9,1928,Norway,NOR,1,2,1,4
1928 Summer Olympics,9,1928,Australia,AUS,1,2,1,4
1928 Summer Olympics,9,1928,Egypt,EGY,2,1,1,4
1928 Summer Olympics,9,1928,Estonia,EST,2,1,2,5
1928 Winter Olympics,30,1928,Norway,NOR,6,4,5,15
1928 Winter Olympics,30,1928,United States,USA,2,2,2,6
1928 Winter Olympics,30,1928,Sweden,SWE,2,2,1,5
1928 Summer Olympics,9,1928,India,IND,1,0,0,1
1928 Summer Olympics,9,1928,Poland,POL,2,1,4,7
1928 Winter Olympics,30,1928,Canada,CAN,1,0,0,1
1928 Winter Olympics,30,1928,France,FRA,1,0,0,1
1928 Winter Olympics,30,1928,Austria,AUT,0,3,1,4
1928 Winter Olympics,30,1928,Belgium,BEL,0,0,1,1
1928 Winter Olympics,30,1928,Czechoslovakia,TCH,0,0,1,1
1928 Winter Olympics,30,1928,Germany,GER,0,0,1,1
1928 Winter Olympics,30,1928,Great Britain,GBR,0,0,1,1
1928 Winter Olympics,30,1928,Switzerland,SUI,0,0,1,1
1928 Summer Olympics,9,1928,United States,USA,22,18,16,56
1928 Winter Olympics,30,1928,Finland,FIN,2,1,1,4
1928 Summer Olympics,9,1928,Luxembourg,LUX,1,0,0,1
1928 Summer Olympics,9,1928,Ireland,IRL,1,0,0,1
1928 Summer Olympics,9,1928,Sweden,SWE,7,6,12,25
1928 Summer Olympics,9,1928,Philippines,PHI,0,0,1,1
1928 Summer Olympics,9,1928,Portugal,POR,0,0,1,1
1928 Summer Olympics,9,1928,Spain,ESP,1,0,0,1
1928 Summer Olympics,9,1928,Germany,GER,11,9,19,39
1928 Summer Olympics,9,1928,Netherlands,NED,8,10,5,23
1928 Summer Olympics,9,1928,Finland,FIN,8,8,9,25
1928 Summer Olympics,9,1928,France,FRA,7,12,6,25
1928 Summer Olympics,9,1928,New Zealand,NZL,1,0,0,1
1928 Summer Olympics,9,1928,Italy,ITA,7,6,7,20
1928 Summer Olympics,9,1928,Switzerland,SUI,7,6,4,17
1928 Summer Olympics,9,1928,Hungary,HUN,5,5,0,10
1928 Summer Olympics,9,1928,Great Britain,GBR,4,11,7,22
1928 Summer Olympics,9,1928,Canada,CAN,4,4,7,15
1928 Summer Olympics,9,1928,Argentina,ARG,3,3,1,7
1928 Summer Olympics,9,1928,Denmark,DEN,3,2,4,9
1928 Summer Olympics,9,1928,Austria,AUT,3,0,1,4
1928 Summer Olympics,9,1928,Uruguay,URU,1,0,0,1
1928 Summer Olympics,9,1928,Czechoslovakia,TCH,2,5,2,9
1928 Summer Olympics,9,1928,Japan,JPN,2,2,1,5
1928 Summer Olympics,9,1928,Haiti,HAI,0,1,0,1
1928 Summer Olympics,9,1928,Chile,CHI,0,1,0,1
