edition,edition_id,year,country,country_noc,gold,silver,bronze,total
1936 Winter Olympics,32,1936,Norway,NOR,7,5,3,15
1936 Winter Olympics,32,1936,Germany,GER,3,3,0,6
1936 Winter Olympics,32,1936,Austria,AUT,1,1,2,4
1936 Winter Olympics,32,1936,Finland,FIN,1,2,3,6
1936 Winter Olympics,32,1936,Switzerland,SUI,1,2,0,3
1936 Winter Olympics,32,1936,Great Britain,GBR,1,1,1,3
1936 Winter Olympics,32,1936,United States,USA,1,0,3,4
1936 Winter Olympics,32,1936,Hungary,HUN,0,0,1,1
1936 Winter Olympics,32,1936,Sweden,SWE,2,2,3,7
1936 Winter Olympics,32,1936,Canada,CAN,0,1,0,1
1936 Winter Olympics,32,1936,France,FRA,0,0,1,1
1936 Summer Olympics,11,1936,United States,USA,24,21,12,57
1936 Summer Olympics,11,1936,Philippines,PHI,0,0,1,1
1936 Summer Olympics,11,1936,Australia,AUS,0,0,1,1
1936 Summer Olympics,11,1936,Mexico,MEX,0,0,3,3
1936 Summer Olympics,11,1936,Belgium,BEL,0,0,3,3
1936 Summer Olympics,11,1936,Yugoslavia,YUG,0,1,0,1
1936 Summer Olympics,11,1936,South Africa,RSA,0,1,0,1
1936 Summer Olympics,11,1936,Romania,ROU,0,1,0,1
1936 Summer Olympics,11,1936,Latvia,LAT,0,1,1,2
1936 Summer Olympics,11,1936,Denmark,DEN,0,2,3,5
1936 Summer Olympics,11,1936,Poland,POL,0,4,5,9
1936 Summer Olympics,11,1936,New Zealand,NZL,1,0,0,1
1936 Summer Olympics,11,1936,India,IND,1,0,0,1
1936 Summer Olympics,11,1936,Türkiye,TUR,1,0,1,2
1936 Summer Olympics,11,1936,Portugal,POR,0,0,1,1
1936 Summer Olympics,11,1936,Norway,NOR,1,3,2,6
1936 Summer Olympics,11,1936,Egypt,EGY,2,1,2,5
1936 Summer Olympics,11,1936,Estonia,EST,2,2,3,7
1936 Summer Olympics,11,1936,Argentina,ARG,2,2,3,7
1936 Summer Olympics,11,1936,Czechoslovakia,TCH,3,5,1,9
1936 Summer Olympics,11,1936,Great Britain,GBR,4,7,3,14
1936 Summer Olympics,11,1936,Switzerland,SUI,4,9,5,18
1936 Summer Olympics,11,1936,Austria,AUT,5,7,5,17
1936 Summer Olympics,11,1936,Netherlands,NED,6,4,7,17
1936 Summer Olympics,11,1936,Japan,JPN,6,4,10,20
1936 Summer Olympics,11,1936,Sweden,SWE,6,5,10,21
1936 Summer Olympics,11,1936,France,FRA,7,6,6,19
1936 Summer Olympics,11,1936,Finland,FIN,8,6,6,20
1936 Summer Olympics,11,1936,Italy,ITA,9,13,5,27
1936 Summer Olympics,11,1936,Canada,CAN,1,3,5,9
1936 Summer Olympics,11,1936,Hungary,HUN,10,1,5,16
1936 Summer Olympics,11,1936,Germany,GER,38,31,32,101
