edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1984 Summer Olympics,21,FRA,Rowing,"Coxed Quadruple Sculls, Women",158995,Hélène Ledoux,36838,5,,True
1984 Summer Olympics,21,FRA,Modern Pentathlon,"Individual, Men",50207,Paul Four,34752,6,,False
1984 Summer Olympics,21,FRA,Judo,"Open Class, Men",16416,Laurent del Colombo,33647,=5,,False
1984 Summer Olympics,21,FRA,Judo,"Heavyweight, Men",16385,Angelo Parisi,34206,2,Silver,False
1984 Summer Olympics,21,FRA,Rowing,"Eights, Men",158968,Jean-Jacques Martigne,37037,6,,True
1984 Summer Olympics,21,FRA,Judo,"Half-Heavyweight, Men",16342,Roger Vachon,34485,=18,,False
1984 Summer Olympics,21,CAN,Rowing,"Coxed Pairs, Men",158943,Tony Zasada,36309,5,,True
1984 Summer Olympics,21,CAN,Rowing,"Coxed Pairs, Men",158943,Tan Barkley,36077,5,,True
1984 Summer Olympics,21,CAN,Rowing,"Coxless Fours, Men",158952,Tim Turner,36291,7,,True
1984 Summer Olympics,21,FRA,Rowing,"Eights, Men",158968,Bernard Chevalier,36904,6,,True
1984 Summer Olympics,21,FRA,Rowing,"Eights, Men",158968,Jean-Pierre Huguet-Balent,36987,6,,True
1984 Summer Olympics,21,FRA,Rowing,"Single Sculls, Women",158974,Laurence Hourdel,36833,4 h3 r2/4,,False
1984 Summer Olympics,21,FRA,Rowing,"Coxed Quadruple Sculls, Women",158995,Évelyne Imbert,36834,5,,True
1984 Summer Olympics,21,FRA,Modern Pentathlon,"Individual, Men",50207,Didier Boubé,34738,10,,False
1984 Summer Olympics,21,CAN,Rowing,"Coxless Pairs, Men",158932,John Houlding,36166,4 h1 r2/4,,True
1984 Summer Olympics,21,CAN,Rowing,"Quadruple Sculls, Men",158923,Bruce Ford,36133,3,Bronze,True
1984 Summer Olympics,21,FRA,Rowing,"Coxed Quadruple Sculls, Women",158995,Lydie Dubedat,36828,5,,True
1984 Summer Olympics,21,FRA,Rowing,"Coxed Quadruple Sculls, Women",158995,Christine Gossé,36831,5,,True
1984 Summer Olympics,21,FRA,Rowing,"Eights, Men",158968,Olivier Pons,37073,6,,True
1984 Summer Olympics,21,FRA,Modern Pentathlon,"Individual, Men",50207,Joël Bouzou,34739,17,,False
1984 Summer Olympics,21,FRA,Rowing,"Eights, Men",158968,Patrick Vibert-Vichet,37123,6,,True
