edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2000 Summer Olympics,25,CZE,Cycling Road,"Road Race, Individual, Men",155007,Pavel Padrnos,15987,69,,False
2000 Summer Olympics,25,CZE,Cycling Road,"Individual Time Trial, Men",155008,Tomáš Konečný,90341,28,,False
2000 Summer Olympics,25,CZE,Cycling Track,"Sprint, Men",154922,Pavel Buráň,13768,9,,False
2000 Summer Olympics,25,CZE,Cycling Track,"1,000 metres Time Trial, Men",154921,Martin Polák,90344,13,,False
2000 Summer Olympics,25,CZE,Cycling Track,"Keirin, Men",154983,Pavel Buráň,13768,5 h2 r3/4,,False
2000 Summer Olympics,25,CZE,Cycling Track,"Team Sprint, Men",154997,Pavel Buráň,13768,11,,True
2000 Summer Olympics,25,CZE,Cycling Track,"Team Sprint, Men",154997,Martin Polák,90344,11,,True
2000 Summer Olympics,25,CZE,Diving,"Springboard, Men",54280,Jaroslav Makohin,90566,39,,False
2000 Summer Olympics,25,CZE,Cycling Track,"Individual Pursuit, Women",155036,Lada Kozlíková,90343,10,,False
2000 Summer Olympics,25,CZE,Cycling Road,"Road Race, Individual, Men",155007,Ján Svorada,16752,DNF,,False
2000 Summer Olympics,25,CZE,Football,"Football, Men",34161,Adam Petrouš,91033,14,,True
2000 Summer Olympics,25,CZE,Football,"Football, Men",34161,Aleš Chvalovský,91024,14,,True
2000 Summer Olympics,25,CZE,Football,"Football, Men",34161,Jan Šimák,91034,14,,True
2000 Summer Olympics,25,CZE,Football,"Football, Men",34161,Jaroslav Drobný,91027,14,,True
2000 Summer Olympics,25,CZE,Cycling Track,"Team Sprint, Men",154997,Ivan Vrba,90345,11,,True
2000 Summer Olympics,25,CZE,Cycling Road,"Road Race, Individual, Men",155007,Radim Kořínek,90342,DNF,,False
2000 Summer Olympics,25,CZE,Canoe Sprint,"Kayak Doubles, 500 metres, Men",256226,Pavel Holubář,90151,6 h2 r2/3,,True
2000 Summer Olympics,25,CZE,Canoe Sprint,"Kayak Doubles, 500 metres, Men",256226,Radek Záruba,90155,6 h2 r2/3,,True
2000 Summer Olympics,25,CZE,Cycling Mountain Bike,"Cross-Country, Men",155009,Radim Kořínek,90342,29,,False
2000 Summer Olympics,25,CZE,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",256265,Petr Procházka,10892,8 h1 r2/3,,True
