edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2008 Summer Olympics,53,CHN,Artistic Swimming,"Duet, Women",261870,Jiang Tingting,116100,4,,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Men",259961,Xiao Qin,107235,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Floor Exercise, Men",259964,Li Xiaopeng,91272,28 r1/2,,False
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Floor Exercise, Men",259964,Yang Wei,91276,15 r1/2,,False
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Floor Exercise, Men",259964,Zou Kai,111922,1,Gold,False
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Men",259961,Chen Yibing,111921,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Men",259961,Yang Wei,91276,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Men",259961,Li Xiaopeng,91272,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Men",259961,Zou Kai,111922,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Team All-Around, Women",259985,Jiang Yuyuan,117644,1,Gold,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Balance Beam, Women",259997,Yang Yilin,117646,11 r1/2,,False
2008 Summer Olympics,53,BEL,Swimming,"100 metres Butterfly, Men",261586,François Heersbrandt,115900,37,,False
2008 Summer Olympics,53,BEL,Swimming,"200 metres Butterfly, Men",261601,Mathieu Fonteyn,115768,19,,False
2008 Summer Olympics,53,BEL,Swimming,"100 metres Breaststroke, Women",261759,Elise Matthysen,115685,=13,,False
2008 Summer Olympics,53,BEL,Swimming,"200 metres Breaststroke, Women",261772,Elise Matthysen,115685,16,,False
2008 Summer Olympics,53,BEL,Table Tennis,"Singles, Men",262349,Jean-Michel Saive,682,=33,,False
2008 Summer Olympics,53,BEL,Tennis,"Singles, Men",261879,Olivier Rochus,107337,=9,,False
2008 Summer Olympics,53,BEL,Tennis,"Singles, Men",261879,Steve Darcis,117569,=33,,False
2008 Summer Olympics,53,BEL,Tennis,"Doubles, Men",261950,Steve Darcis,117569,=9,,True
2008 Summer Olympics,53,CHN,Artistic Gymnastics,"Balance Beam, Women",259997,Jiang Yuyuan,117644,15 r1/2,,False
2008 Summer Olympics,53,BEL,Tennis,"Doubles, Men",261950,Olivier Rochus,107337,=9,,True
