edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2004 Summer Olympics,26,TPE,Rowing,"Single Sculls, Women",159827,Chiang Chien-Ju,104169,17,,False
2004 Summer Olympics,26,TPE,Rowing,"Single Sculls, Men",159716,Wang Ming-Hui,104288,25,,False
2004 Summer Olympics,26,TPE,Judo,"Heavyweight, Women",19806,Lee Hsiao-Hung,92427,AC,,False
2004 Summer Olympics,26,TPE,Cycling Track,"1,000 metres Time Trial, Men",155048,Lin Chih-Hsun,106878,16,,False
2004 Summer Olympics,26,TPE,Baseball,"Baseball, Men",30811,Yang Chien-Fu,108408,5,,True
2004 Summer Olympics,26,TPE,Baseball,"Baseball, Men",30811,Yeh Chun-Chang,108409,5,,True
2004 Summer Olympics,26,TPE,Judo,"Middleweight, Women",19717,Liu Shu-Yun,106437,AC,,False
2004 Summer Olympics,26,AUS,Beach Volleyball,"Beach Volleyball, Women",31258,Nicole Sanderson,106835,4,,True
2004 Summer Olympics,26,AUS,Canoe Slalom,"Canadian Doubles, Slalom, Men",256402,Lachie Milne,105117,12,,True
2004 Summer Olympics,26,AUS,Canoe Slalom,"Kayak Singles, Slalom, Women",256430,Louise Natoli,105096,7,,False
2004 Summer Olympics,26,VEN,Shooting,"Sporting Pistol, 25 metres, Women",52023,Francis Gorrín,104708,37,,False
2004 Summer Olympics,26,VEN,Shooting,"Air Pistol, 10 metres, Women",52020,Francis Gorrín,104708,41,,False
2004 Summer Olympics,26,VEN,Sailing,"Windsurfer, Men",10970,Carlos Julio Flores,104025,25,,False
2004 Summer Olympics,26,VEN,Judo,"Heavyweight, Women",19806,Giovanna José Blanco,106462,=7,,False
2004 Summer Olympics,26,VEN,Judo,"Half-Heavyweight, Women",19762,Keivi Pinto,106448,AC,,False
2004 Summer Olympics,26,VEN,Judo,"Lightweight, Women",19625,Rudymar Fleming,106413,AC,,False
2004 Summer Olympics,26,TPE,Archery,"Individual, Men",41271,Chen Szu-Yuan,102895,7,,False
2004 Summer Olympics,26,TPE,Archery,"Individual, Men",41271,Wang Cheng-Pang,102897,17,,False
2004 Summer Olympics,26,TPE,Archery,"Individual, Men",41271,Liu Ming-Huang,102896,26,,False
2004 Summer Olympics,26,TPE,Archery,"Team, Men",41345,Chen Szu-Yuan,102895,2,Silver,True
2004 Summer Olympics,26,TPE,Archery,"Team, Men",41345,Liu Ming-Huang,102896,2,Silver,True
2004 Summer Olympics,26,TPE,Archery,"Team, Men",41345,Wang Cheng-Pang,102897,2,Silver,True
2004 Summer Olympics,26,TPE,Archery,"Individual, Women",41367,Yuan Shu-Chi,102840,4,,False
2004 Summer Olympics,26,TPE,Archery,"Individual, Women",41367,Wu Hui-Ju,102842,6,,False
2004 Summer Olympics,26,BRA,Artistic Gymnastics,"Horse Vault, Women",70907,Ana Paula Rodrigues,107182,=63 r1/1,,False
2004 Summer Olympics,26,BRA,Artistic Gymnastics,"Horse Vault, Women",70907,Daniele Hypólito,91243,=73 r1/1,,False
2004 Summer Olympics,26,BRA,Artistic Gymnastics,"Uneven Bars, Women",70909,Daniele Hypólito,91243,=11 r1/1,,False
2004 Summer Olympics,26,BRA,Artistic Gymnastics,"Uneven Bars, Women",70909,Camila Comin,91242,30 r1/1,,False
2004 Summer Olympics,26,BRA,Artistic Gymnastics,"Uneven Bars, Women",70909,Ana Paula Rodrigues,107182,=33 r1/1,,False
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 500 metres, Women",256418,Susan Tegg,105190,9 h1 r2/3,,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 500 metres, Women",256418,Paula Harvey,105189,9 h1 r2/3,,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Singles, 500 metres, Women",256409,Amanda Rankin,105142,8 h1 r2/3,,False
2004 Summer Olympics,26,AUS,Canoe Sprint,"Canadian Singles, 500 metres, Men",256358,Martin Marinov,9212,4 h2 r2/3,,False
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",256346,David Rhodes,105212,4,,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",256346,Danny Collins,8998,4,,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 500 metres, Men",256337,Nathan Baggaley,90117,2,Silver,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Doubles, 500 metres, Men",256337,Clint Robinson,9033,2,Silver,True
2004 Summer Olympics,26,AUS,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",256328,Nathan Baggaley,90117,4,,False
