edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1964 Summer Olympics,16,ZAM,Wrestling,"Middleweight, Freestyle, Men",125161,Theunis van Wyk,59537,AC,,False
1964 Summer Olympics,16,ZAM,Swimming,"400 metres Freestyle, Men",5670,Alan Durrett,49576,38,,False
1964 Summer Olympics,16,ZAM,Swimming,"1,500 metres Freestyle, Men",5680,Alan Durrett,49576,24,,False
1964 Summer Olympics,16,GHA,Football,"Football, Men",33775,Frank Odoi,700918,=7,,True
1964 Summer Olympics,16,ZAM,Swimming,"200 metres Breaststroke, Men",5699,Charles Fox,49577,30,,False
1964 Summer Olympics,16,GHA,Football,"Football, Men",33775,Gladstone Ofori,700919,=7,,True
1964 Summer Olympics,16,ZAM,Wrestling,"Featherweight, Freestyle, Men",125026,John Smith,59536,AC,,False
1964 Summer Olympics,16,GHA,Football,"Football, Men",33775,Abdul Ramonu Gibirine,701034,=7,,True
1964 Summer Olympics,16,ZAM,Swimming,"400 metres Individual Medley, Men",5721,Charles Fox,49577,28,,False
1964 Summer Olympics,16,ZAM,Athletics,"110 metres Hurdles, Men",60162,Wallie Babb,74253,7 h1 r1/3,,False
1964 Summer Olympics,16,ZAM,Boxing,"Featherweight, Men",23382,Ian McLoughlin,4866,=17,,False
1964 Summer Olympics,16,CHI,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men",51698,Roberto Huber,41567,38,,False
1964 Summer Olympics,16,CHI,Shooting,"Trap, Men",51707,Juan Enrique Lira,41572,6,,False
1964 Summer Olympics,16,CHI,Shooting,"Trap, Men",51707,Gilberto Navarro,41574,17,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Downhill, Men",1224,Hernán Boher,84222,58,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Downhill, Men",1224,Juan Holz,86749,77,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Downhill, Men",1224,Claudio Wernli,98906,DQ,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Giant Slalom, Men",1225,Hernán Boher,84222,44,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Giant Slalom, Men",1225,Claudio Wernli,98906,54,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Giant Slalom, Men",1225,Francisco Cortés,84866,66,,False
1964 Winter Olympics,37,CHI,Alpine Skiing,"Giant Slalom, Men",1225,Juan Holz,86749,DNF,,False
1964 Summer Olympics,16,ZAM,Athletics,"100 metres, Men",60072,Jeffery Smith,74257,7 h9 r1/4,,False
1964 Summer Olympics,16,ZAM,Athletics,"200 metres, Men",60093,Jeffery Smith,74257,7 h1 r2/4,,False
1964 Summer Olympics,16,ZAM,Athletics,"Marathon, Men",60161,Constantino Kapambwe,74256,46,,False
