edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1968 Winter Olympics,38,URS,Alpine Skiing,"Downhill, Men",1238,Andrey Belokrinkin,83979,49,,False
1968 Winter Olympics,38,URS,Alpine Skiing,"Downhill, Men",1238,Viktor Belyakov,83985,40,,False
1968 Summer Olympics,17,URS,Wrestling,"Heavyweight, Freestyle, Men",125943,Aliaksandr Miadved,60505,1,Gold,False
1968 Summer Olympics,17,URS,Wrestling,"Light-Heavyweight, Freestyle, Men",125900,Shota Lomidze,60499,2,Silver,False
1968 Summer Olympics,17,URS,Wrestling,"Middleweight, Freestyle, Men",125850,Boris Gurevich,60470,1,Gold,False
1968 Summer Olympics,17,URS,Wrestling,"Heavyweight, Greco-Roman, Men",126308,Anatoly Roshchin,60520,2,Silver,False
1968 Summer Olympics,17,URS,Wrestling,"Lightweight, Freestyle, Men",125753,Zarbeg Beriashvili,60452,5,,False
1968 Summer Olympics,17,URS,Wrestling,"Flyweight, Freestyle, Men",125593,Nazar Albaryan,60440,4,,False
1968 Summer Olympics,17,URS,Wrestling,"Featherweight, Freestyle, Men",125700,Yelkan Tedeyev,60546,6,,False
1968 Summer Olympics,17,URS,Wrestling,"Bantamweight, Freestyle, Men",125649,Ali Aliyev,60442,4,,False
1968 Summer Olympics,17,URS,Wrestling,"Welterweight, Freestyle, Men",125807,Yury Shakhmuradov,60534,6,,False
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Men",37066,Eduard Sibiryakov,53206,1,Gold,True
1968 Summer Olympics,17,URS,Water Polo,"Water Polo, Men",38432,Aleksandr Shidlovsky,54862,2,Silver,True
1968 Summer Olympics,17,URS,Wrestling,"Middleweight, Greco-Roman, Men",126229,Valentin Olenik,60514,2,Silver,False
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Women",37114,Lyudmila Mikhaylovskaya,53141,1,Gold,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900273,Vladimir Korotkov,902234,=3,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900273,Anatoly Volkov,902235,=3,,True
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Women",37114,Lyudmila Buldakova,53121,1,Gold,True
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Men",37066,Vladimir Ivanov,53177,1,Gold,True
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Men",37066,Boris Tereshchuk,53216,1,Gold,True
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Men",37066,Viktor Mikhalchuk,53193,1,Gold,True
1968 Summer Olympics,17,URS,Volleyball,"Volleyball, Men",37066,Vasilijus Matuševas,53192,1,Gold,True
1968 Winter Olympics,38,URS,Alpine Skiing,"Downhill, Men",1238,Vasily Melnikov,95369,DQ,,False
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900189,Anatoly Volkov,902235,=5,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900189,Vladimir Korotkov,902234,=5,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900189,Hans Nerell,902168,=9,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Men",900189,Teimuraz K'ak'ulia,902233,=9,,True
1968 Summer Olympics,17,URS,Tennis,"Singles, Women",900283,Zaiga Jansone,902236,=5,,False
1968 Summer Olympics,17,URS,Tennis,"Singles, Women",900209,Zaiga Jansone,902236,=9,,False
1968 Summer Olympics,17,URS,Tennis,"Doubles, Women",900297,Cecilia Rosado,901917,4,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Women",900297,Zaiga Jansone,902236,4,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Mixed",900305,Zaiga Jansone,902236,1,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Mixed",900305,Vladimir Korotkov,902234,1,,True
1968 Summer Olympics,17,URS,Tennis,"Doubles, Mixed",900305,Suzana Petersen,901072,4,,True
