edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1956 Summer Olympics,14,RSA,Sailing,"One Person Dinghy, Open",9603,Eric Bongers,61407,6,,False
1956 Summer Olympics,14,AUS,Canoe Marathon,"Kayak Doubles, 10,000 metres, Men",255102,Dennis Green,9010,3,Bronze,True
1956 Summer Olympics,14,AUS,Canoe Marathon,"Kayak Doubles, 10,000 metres, Men",255102,Walter Brown,8996,3,Bronze,True
1956 Summer Olympics,14,AUS,Canoe Marathon,"Canadian Singles, 10,000 metres, Men",255106,Bryan Harper,9011,9,,False
1956 Summer Olympics,14,AUS,Canoe Marathon,"Canadian Doubles, 10,000 metres, Men",255113,Bill Jones,9016,7,,True
1956 Summer Olympics,14,AUS,Canoe Marathon,"Canadian Doubles, 10,000 metres, Men",255113,Tom Ohman,9029,7,,True
1956 Summer Olympics,14,AUS,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",255087,Barry Stuart,9037,9,,False
1956 Summer Olympics,14,AUS,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",255095,Walter Brown,8996,7,,True
1956 Summer Olympics,14,AUS,Canoe Marathon,"Kayak Singles, 10,000 metres, Men",255094,Max Baldwin,8993,9,,False
1956 Summer Olympics,14,AUS,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",255095,Dennis Green,9010,7,,True
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Individual All-Around, Men",70182,Brian Blackburn,29356,58,,False
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Individual All-Around, Men",70182,Noel Punton,29373,59,,False
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,Graham Bond,29357,7,,True
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,David Gourlay,29366,7,,True
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,John Lees,29368,7,,True
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,Bruce Sharp,29374,7,,True
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,Brian Blackburn,29356,7,,True
1956 Summer Olympics,14,AUS,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",255104,Bryan Harper,9011,7,,False
1956 Summer Olympics,14,AUS,Artistic Gymnastics,"Team All-Around, Men",70183,Noel Punton,29373,7,,True
1956 Summer Olympics,14,AUS,Boxing,"Light-Heavyweight, Men",22945,Tony Madigan,5068,=5,,False
1956 Summer Olympics,14,AUS,Boxing,"Light-Middleweight, Men",22909,Peter Read,7441,=9,,False
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Colin Burdett,5803,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Geoff Heskett,6282,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Inga Freidenfelds,6134,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,George Dancis,5947,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Ken Finch,6110,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Merv Moy,6705,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Peter Bumbers,2833,12,,True
1956 Summer Olympics,14,AUS,Boxing,"Middleweight, Men",22927,Howard Richter,7442,=9,,False
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Peter Demos,5990,12,,True
1956 Summer Olympics,14,AUS,Basketball,"Basketball, Men",32044,Stan Dargis,5952,12,,True
1956 Summer Olympics,14,AUS,Boxing,"Flyweight, Men",22769,Warner Batchelor,5025,=5,,False
1956 Summer Olympics,14,AUS,Boxing,"Bantamweight, Men",22793,Bobby Bath,5026,=9,,False
1956 Summer Olympics,14,AUS,Boxing,"Featherweight, Men",22816,Noel Hazard,5055,=9,,False
1956 Summer Olympics,14,AUS,Boxing,"Lightweight, Men",22839,Billy Griffiths,5053,=9,,False
1956 Summer Olympics,14,AUS,Boxing,"Light-Welterweight, Men",22862,Max Carlos,5033,=9,,False
1956 Summer Olympics,14,AUS,Boxing,"Welterweight, Men",22889,Kevin Hogarth,5058,=3,Bronze,False
