edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1976 Summer Olympics,19,USA,Equestrian Dressage,"Team, Open",185294,Hilda Gurney,11343,3,Bronze,True
1976 Summer Olympics,19,USA,Equestrian Dressage,"Individual, Open",185281,Dorothy Morkis,11414,5,,False
1976 Summer Olympics,19,USA,Equestrian Dressage,"Individual, Open",185281,Hilda Gurney,11343,10,,False
1976 Summer Olympics,19,USA,Equestrian Dressage,"Individual, Open",185281,Edith Master,11400,14,,False
1976 Summer Olympics,19,USA,Diving,"Platform, Women",54213,Janet Ely,51013,9 r1/2,,False
1976 Summer Olympics,19,USA,Diving,"Platform, Women",54213,Melissa Briley,50976,7,,False
1976 Summer Olympics,19,USA,Diving,"Platform, Women",54213,Debbie Wilson,51240,3,Bronze,False
1976 Summer Olympics,19,USA,Equestrian Dressage,"Team, Open",185294,Dorothy Morkis,11414,3,Bronze,True
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Imre Bánrévi,30351,=36 r1/1,,False
1976 Summer Olympics,19,USA,Equestrian Eventing,"Individual, Open",185271,Tad Coffin,11767,1,Gold,False
1976 Summer Olympics,19,USA,Equestrian Eventing,"Individual, Open",185271,J. Michael Plumb,12574,2,Silver,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Árpád Farkas,30367,=43 r1/1,,False
1976 Summer Olympics,19,USA,Diving,"Springboard, Women",54210,Barbara Nejman,51138,8,,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Ferenc Donáth,30363,4,,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Zoltán Magyar,30397,=17 r1/1,,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Imre Molnár,30402,=20 r1/1,,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Rings, Men",70427,Béla Laufer,30395,=24 r1/1,,False
1976 Summer Olympics,19,USA,Equestrian Dressage,"Team, Open",185294,Edith Master,11400,3,Bronze,True
1976 Summer Olympics,19,USA,Diving,"Springboard, Women",54210,Cynthia Potter-McIngvale,51156,3,Bronze,False
1976 Summer Olympics,19,HUN,Artistic Gymnastics,"Floor Exercise, Women",70447,Margit Tóth,28664,=34 r1/1,,False
