edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1988 Winter Olympics,43,FIN,Ice Hockey,"Ice Hockey, Men",20557,Jarmo Myllys,95682,2,Silver,True
1988 Summer Olympics,22,ROU,Boxing,"Welterweight, Men",25879,Francisc Vaștag,7952,=17,,False
1988 Summer Olympics,22,ROU,Canoe Sprint,"Kayak Doubles, 500 metres, Men",255809,Daniel Stoian,10619,5,,True
1988 Summer Olympics,22,ROU,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",255822,Daniel Stoian,10619,6,,True
1988 Summer Olympics,22,ROU,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",255822,Angelin Velea,10626,6,,True
1988 Summer Olympics,22,ROU,Canoe Sprint,"Canadian Singles, 500 metres, Men",255848,Aurel Macarencu,10598,6,,False
1988 Summer Olympics,22,ROU,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",255861,Aurel Macarencu,10598,5,,False
1988 Summer Olympics,22,ROU,Canoe Sprint,"Canadian Doubles, 500 metres, Men",255873,Grigore Obreja,10602,7,,True
1988 Winter Olympics,43,FIN,Freestyle Skiing,"Moguls, Men",905281,Martti Kellokumpu,900193,13,,False
1988 Winter Olympics,43,FIN,Cross Country Skiing,"5 kilometres, B1, Women",905276,Antero Viljaharju,900829,2,,True
1988 Winter Olympics,43,FIN,Cross Country Skiing,"5 kilometres, B1, Women",905276,Kirsti Pennanen,900182,2,,True
1988 Summer Olympics,22,ROU,Canoe Sprint,"Kayak Doubles, 500 metres, Men",255809,Angelin Velea,10626,5,,True
1988 Summer Olympics,22,GDR,Fencing,"Épée, Individual, Men",108952,Torsten Kühnemund,22227,5,,False
1988 Summer Olympics,22,ROU,Athletics,"High Jump, Women",63804,Galina Astafei,69942,=5,,False
1988 Summer Olympics,22,JAM,Athletics,"Marathon, Men",63374,Derrick Adamson,72253,84,,False
1988 Summer Olympics,22,JAM,Athletics,"400 metres, Men",63309,Devon Morris,72314,7 h2 r3/4,,False
1988 Summer Olympics,22,JAM,Athletics,"400 metres, Men",63309,Howard Davis,72268,6 h2 r3/4,,False
1988 Summer Olympics,22,JAM,Athletics,"400 metres, Men",63309,Bert Cameron,72262,6,,False
1988 Winter Olympics,43,LBN,Alpine Skiing,"Slalom, Men",1361,Toni Salame,97094,34,,False
1988 Winter Olympics,43,LBN,Alpine Skiing,"Slalom, Men",1361,Karim Sabbagh,97060,40,,False
1988 Winter Olympics,43,LBN,Alpine Skiing,"Slalom, Men",1361,Elias Majdalani,92066,DNF,,False
1988 Winter Olympics,43,LBN,Alpine Skiing,"Slalom, Men",1361,Pierre Succar,97936,DQ,,False
1988 Summer Olympics,22,JAM,Athletics,"200 metres, Men",63287,Clive Wright,72342,5 h5 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Men",63261,Andrew Smith,72330,7 h6 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Men",63261,John Mair,72302,3 h1 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Men",63261,Ray Stewart,72336,7,,False
1988 Winter Olympics,43,FIN,Cross Country Skiing,"4 × 5 kilometres Relay, Women",2022,Jaana Savolainen,82278,3,Bronze,True
1988 Winter Olympics,43,FIN,Ski Jumping,"Large Hill, Individual, Men",2415,Pekka Suorsa,97979,38,,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Large Hill, Individual, Men",2415,Ari-Pekka Nikkola,95847,16,,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Large Hill, Individual, Men",2415,Jari Puikkonen,96633,11,,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Large Hill, Individual, Men",2415,Matti Nykänen,95937,1,Gold,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Normal Hill, Individual, Men",2412,Risto Laakkonen,92012,23,,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Normal Hill, Individual, Men",2412,Ari-Pekka Nikkola,95847,15,,False
1988 Summer Olympics,22,JAM,Athletics,"110 metres Hurdles, Men",63375,Richard Bucknor,72259,8 h1 r3/4,,False
1988 Winter Olympics,43,FIN,Ski Jumping,"Normal Hill, Individual, Men",2412,Jari Puikkonen,96633,7,,False
1988 Summer Olympics,22,JAM,Athletics,"110 metres Hurdles, Men",63375,Andrew Parker,72319,6 h2 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,Chris Faulknor,72273,4,,True
1988 Summer Olympics,22,JAM,Athletics,"800 metres, Women",63738,Sharon Powell,72232,4 h1 r1/3,,False
1988 Summer Olympics,22,JAM,Athletics,"400 metres, Women",63720,Sandie Richards,72236,5 h2 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"400 metres, Women",63720,Cathy Rattray-Williams,72234,6 h2 r3/4,,False
1988 Summer Olympics,22,JAM,Athletics,"200 metres, Women",63701,Merlene Ottey,72229,4,,False
1988 Summer Olympics,22,JAM,Athletics,"200 metres, Women",63701,Grace Jackson,72218,2,Silver,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Women",63682,Merlene Ottey,72229,2 h1 r2/4,,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Women",63682,Juliet Cuthbert,72206,7,,False
1988 Summer Olympics,22,JAM,Athletics,"100 metres, Women",63682,Grace Jackson,72218,4,,False
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Trevor Graham,72282,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Howard Burnett,72261,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Bert Cameron,72262,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Winthrop Graham,72283,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Devon Morris,72314,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 400 metres Relay, Men",63424,Howard Davis,72268,2,Silver,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,Ray Stewart,72336,4,,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,Andrew Smith,72330,4,,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,John Mair,72302,4,,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,Clive Wright,72342,4,,True
1988 Summer Olympics,22,JAM,Athletics,"4 × 100 metres Relay, Men",63414,Greg Meghoo,72308,4,,True
1988 Summer Olympics,22,JAM,Athletics,"400 metres Hurdles, Men",63392,Winthrop Graham,72283,5,,False
