edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2010 Winter Olympics,57,MDA,Cross Country Skiing,"15 kilometres, Men",923550,Sergiu Balan,118579,86,,False
2010 Winter Olympics,57,MDA,Biathlon,"15 kilometres, Women",923491,Natalia Levcencova,110004,36,,False
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Tim Thomas,119392,2,Silver,True
2010 Winter Olympics,57,MDA,Biathlon,"10 kilometres Pursuit, Women",923492,Natalia Levcencova,110004,55,,False
2010 Winter Olympics,57,MDA,Cross Country Skiing,"10 kilometres, Women",923578,Alexandra Camenșcic,118723,70,,False
2010 Winter Olympics,57,MDA,Luge,"Singles, Men",924220,Bogdan Macovei,109701,33,,False
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Callahan,119361,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Paul Stastny,119340,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Brian Rafalski,102356,2,Silver,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 5 kilometres Relay, Women",923597,Holly Brooks,118766,11,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"15 kilometres Skiathlon, Women",923579,Caitlin Compton,118744,42,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"15 kilometres Skiathlon, Women",923579,Liz Stephen,118797,57,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"15 kilometres Skiathlon, Women",923579,Holly Brooks,118766,55,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"15 kilometres Skiathlon, Women",923579,Morgan Arritola,118817,37,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"30 kilometres, Women",923582,Morgan Arritola,118817,DNF,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"30 kilometres, Women",923582,Holly Brooks,118766,35,,False
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Miller,119365,2,Silver,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"30 kilometres, Women",923582,Kikkan Randall,101453,23,,False
2010 Winter Olympics,57,MDA,Biathlon,"7.5 kilometres Sprint, Women",923490,Natalia Levcencova,110004,52,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"10 kilometres, Women",923578,Liz Stephen,118797,49,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"10 kilometres, Women",923578,Holly Brooks,118766,41,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 5 kilometres Relay, Women",923597,Kikkan Randall,101453,11,,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Dustin Brown,119196,2,Silver,True
2010 Winter Olympics,57,MDA,Biathlon,"10 kilometres Sprint, Men",923480,Victor Pînzaru,118597,70,,False
2010 Winter Olympics,57,CAN,Biathlon,"20 kilometres, Men",923481,Jean-Philippe Le Guellec,109647,13,,False
2010 Winter Olympics,57,USA,Figure Skating,"Singles, Men",924265,Evan Lysacek,110142,1,Gold,False
2010 Winter Olympics,57,USA,Figure Skating,"Singles, Men",924265,Johnny Weir,110134,6,,False
2010 Winter Olympics,57,USA,Figure Skating,"Singles, Men",924265,Jeremy Abbott,119086,9,,False
2010 Winter Olympics,57,USA,Figure Skating,"Singles, Women",924268,Mirai Nagasu,119106,4,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"15 kilometres, Men",923550,George Grey,109833,=29,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"15 kilometres, Men",923550,Gordon Jewett,118763,52,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"50 kilometres, Men",923554,Devon Kershaw,110081,5,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"50 kilometres, Men",923554,George Grey,109833,18,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"50 kilometres, Men",923554,Alex Harvey,118722,32,,False
2010 Winter Olympics,57,USA,Figure Skating,"Singles, Women",924268,Rachael Flatt,119117,7,,False
2010 Winter Olympics,57,USA,Figure Skating,"Pairs, Mixed",924271,Amanda Evora,119054,10,,True
2010 Winter Olympics,57,USA,Figure Skating,"Pairs, Mixed",924271,Mark Ladwig,119099,10,,True
2010 Winter Olympics,57,USA,Figure Skating,"Pairs, Mixed",924271,Caydee Denney,119063,13,,True
2010 Winter Olympics,57,USA,Figure Skating,"Pairs, Mixed",924271,Jeremy Barrett,119085,13,,True
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,Meryl Davis,119104,2,Silver,True
2010 Winter Olympics,57,CAN,Cross Country Skiing,"50 kilometres, Men",923554,Ivan Babikov,109821,33,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"30 kilometres Skiathlon, Men",923551,Ivan Babikov,109821,5,,False
2010 Winter Olympics,57,AUS,Snowboarding,"Cross, Women",924454,Stephanie Hickey,119633,18,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"50 kilometres, Men",923554,Kris Freeman,101326,DNF,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"30 kilometres Skiathlon, Men",923551,James Southam,109840,34,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"30 kilometres Skiathlon, Men",923551,Kris Freeman,101326,45,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 10 kilometres Relay, Men",923569,Andy Newell,110080,13,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 10 kilometres Relay, Men",923569,Torin Koos,101650,13,,True
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,"Charlie White, Jr.",119064,2,Silver,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 10 kilometres Relay, Men",923569,Garrott Kuzzy,118762,13,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 10 kilometres Relay, Men",923569,Simi Hamilton,118845,13,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"Team Sprint, Men",923573,Torin Koos,101650,9,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Women",924126,Tracy Sachtjen,1800017,10,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"Sprint, Women",923583,Kikkan Randall,101453,8,,False
2010 Winter Olympics,57,USA,Curling,"Curling, Women",924126,Nicole Joraanstad,118915,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Women",924126,Allison Pottinger,118869,10,,True
2010 Winter Olympics,57,CAN,Biathlon,"4 × 6 kilometres Relay, Women",923496,Rosanna Crawford,118575,14,,True
2010 Winter Olympics,57,CAN,Biathlon,"4 × 6 kilometres Relay, Women",923496,Megan Tandy,118558,14,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Men",924240,Pierre Lueders,91934,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Men",924240,Jesse Lumsden,118664,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Men",924240,Lyndon Rush,118682,15,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Men",924240,David Bissett,110650,15,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Men",924240,Lascelles Brown,101957,15,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Lyndon Rush,118682,3,Bronze,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,David Bissett,110650,3,Bronze,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Lascelles Brown,101957,3,Bronze,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Chris le Bihan,118626,3,Bronze,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Pierre Lueders,91934,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Justin Kripps,118670,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Neville Wright,118693,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Four, Men",924247,Jesse Lumsden,118664,5,,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Women",924254,Kaillie Humphries,118672,1,Gold,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Women",924254,Heather Moyse,110772,1,Gold,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Women",924254,Helen Upperton,110771,2,Silver,True
2010 Winter Olympics,57,CAN,Bobsleigh,"Two, Women",924254,Shelley-Ann Brown,118710,2,Silver,True
2010 Winter Olympics,57,CAN,Cross Country Skiing,"Sprint, Men",923555,Stefan Kuhn,118846,15,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"Sprint, Men",923555,Devon Kershaw,110081,23,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"Sprint, Men",923555,Drew Goldsack,109847,40,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"Sprint, Men",923555,Brent McMurtry,118741,41,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"15 kilometres, Men",923550,Ivan Babikov,109821,8,,False
2010 Winter Olympics,57,CAN,Cross Country Skiing,"15 kilometres, Men",923550,Alex Harvey,118722,21,,False
2010 Winter Olympics,57,USA,Curling,"Curling, Men",924070,John Benton,118896,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Women",924126,Debbie McCormick,100308,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Women",924126,Natalie Nicholson,118914,10,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"Sprint, Women",923583,Holly Brooks,118766,38,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"10 kilometres, Women",923578,Caitlin Compton,118744,30,,False
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,Tanith Belbin,111072,4,,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Malone,119364,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Jamie Langenbrunner,100717,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Joe Pavelski,119241,2,Silver,True
2010 Winter Olympics,57,CAN,Biathlon,"10 kilometres Pursuit, Women",923492,Megan Tandy,118558,35,,False
2010 Winter Olympics,57,CAN,Biathlon,"7.5 kilometres Sprint, Women",923490,Megan Imrie,118557,75,,False
2010 Winter Olympics,57,CAN,Biathlon,"7.5 kilometres Sprint, Women",923490,Rosanna Crawford,118575,71,,False
2010 Winter Olympics,57,USA,Curling,"Curling, Men",924070,Jeff Isaacson,118895,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Men",924070,Jason Smith,118894,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Men",924070,Chris Plys,118883,10,,True
2010 Winter Olympics,57,USA,Curling,"Curling, Men",924070,John Shuster,110160,10,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"Team Sprint, Women",923601,Kikkan Randall,101453,6,,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Kesler,119363,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Whitney,119309,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Ryan Suter,119366,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Chris Drury,102352,2,Silver,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"Team Sprint, Women",923601,Caitlin Compton,118744,6,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 5 kilometres Relay, Women",923597,Caitlin Compton,118744,11,,True
2010 Winter Olympics,57,USA,Cross Country Skiing,"4 × 5 kilometres Relay, Women",923597,Morgan Arritola,118817,11,,True
2010 Winter Olympics,57,CAN,Biathlon,"7.5 kilometres Sprint, Women",923490,Zina Kocher,110010,64,,False
2010 Winter Olympics,57,CAN,Biathlon,"7.5 kilometres Sprint, Women",923490,Megan Tandy,118558,45,,False
2010 Winter Olympics,57,CAN,Biathlon,"4 × 7.5 kilometres Relay, Men",923486,Jean-Philippe Le Guellec,109647,10,,True
2010 Winter Olympics,57,CAN,Biathlon,"4 × 7.5 kilometres Relay, Men",923486,Brendan Green,118511,10,,True
2010 Winter Olympics,57,CAN,Biathlon,"4 × 7.5 kilometres Relay, Men",923486,Marc-André Bédard,118548,10,,True
2010 Winter Olympics,57,CAN,Biathlon,"4 × 7.5 kilometres Relay, Men",923486,Robin Clegg,101196,10,,True
2010 Winter Olympics,57,MDA,Alpine Skiing,"Giant Slalom, Men",924544,Christophe Roux,118342,45,,False
2010 Winter Olympics,57,MDA,Alpine Skiing,"Slalom, Men",924547,Christophe Roux,118342,28,,False
2010 Winter Olympics,57,MDA,Alpine Skiing,"Slalom, Men",924547,Urs Imboden,101816,DNF,,False
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Zach Parise,119416,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Erik Johnson,119203,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Tim Gleason,119339,2,Silver,True
2010 Winter Olympics,57,USA,Ice Hockey,"Ice Hockey, Men",924000,Jack Johnson,119223,2,Silver,True
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,Ben Agosto,110709,4,,True
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,Emily Samuelson,119074,11,,True
2010 Winter Olympics,57,USA,Figure Skating,"Ice Dancing, Mixed",924274,Evan Bates,119076,11,,True
2010 Winter Olympics,57,USA,Freestyle Skiing,"Moguls, Men",924280,Bryon Wilson,118953,3,Bronze,False
2010 Winter Olympics,57,USA,Freestyle Skiing,"Moguls, Men",924280,Michael Morse,119002,15,,False
2010 Winter Olympics,57,USA,Freestyle Skiing,"Moguls, Men",924280,Nate Roberts,119004,=19,,False
2010 Winter Olympics,57,USA,Freestyle Skiing,"Moguls, Men",924280,Patrick Deneen,119009,=19,,False
2010 Winter Olympics,57,USA,Cross Country Skiing,"10 kilometres, Women",923578,Morgan Arritola,118817,34,,False
