edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1960 Summer Olympics,15,TUR,Wrestling,"Bantamweight, Freestyle, Men",124250,Hüseyin Akbaş,60271,14,,False
1960 Summer Olympics,15,URS,Artistic Gymnastics,"Horse Vault, Men",70218,Yury Titov,31272,4,,False
1960 Summer Olympics,15,TUR,Wrestling,"Featherweight, Freestyle, Men",124294,Mustafa Dağıstanlı,60308,1,Gold,False
1960 Summer Olympics,15,TUR,Wrestling,"Lightweight, Freestyle, Men",124345,Hayrullah Şahinkaya,60365,=8,,False
1960 Summer Olympics,15,TUR,Wrestling,"Welterweight, Freestyle, Men",124397,İsmail Oğan,60354,2,Silver,False
1960 Summer Olympics,15,TUR,Wrestling,"Middleweight, Freestyle, Men",124446,Hasan Güngör,60331,1,Gold,False
1960 Summer Olympics,15,TUR,Wrestling,"Heavyweight, Freestyle, Men",124528,Hamit Kaplan,60336,2,Silver,False
1960 Winter Olympics,36,TUR,Alpine Skiing,"Downhill, Men",1214,Zeki Şamiloğlu,97124,58,,False
1960 Winter Olympics,36,TUR,Alpine Skiing,"Downhill, Men",1214,Muzaffer Demirhan,85154,DQ,,False
1960 Winter Olympics,36,TUR,Alpine Skiing,"Giant Slalom, Men",1215,Zeki Şamiloğlu,97124,54,,False
1960 Winter Olympics,36,TUR,Alpine Skiing,"Giant Slalom, Men",1215,Muzaffer Demirhan,85154,DQ,,False
1960 Winter Olympics,36,TUR,Alpine Skiing,"Slalom, Men",1216,Zeki Şamiloğlu,97124,39,,False
1960 Summer Olympics,15,TUR,Wrestling,"Light-Heavyweight, Freestyle, Men",124486,İsmet Atlı,60282,1,Gold,False
1960 Summer Olympics,15,TUR,Wrestling,"Flyweight, Freestyle, Men",124208,Ahmet Bilek,60294,1,Gold,False
1960 Summer Olympics,15,TUR,Wrestling,"Middleweight, Greco-Roman, Men",124824,Kazım Ayvaz,60286,4,,False
1960 Summer Olympics,15,TUR,Wrestling,"Light-Heavyweight, Greco-Roman, Men",124873,Tevfik Kış,60346,1,Gold,False
1960 Summer Olympics,15,TUR,Wrestling,"Welterweight, Greco-Roman, Men",124763,Mithat Bayrak,60292,1,Gold,False
