edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Alla Shishkina,120462,1,Gold,True
2020 Summer Olympics,61,AUS,Taekwondo,"Heavyweight, Women",19004482,Reba Stewart,140699,=11,,False
2020 Summer Olympics,61,AUS,Tennis,"Singles, Men",19004600,John Millman,132561,=17,,False
2020 Summer Olympics,61,AUS,Tennis,"Singles, Men",19004600,James Duckworth,140843,=17,,False
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Balance Beam, Women",19009187,Anastasiya Ilyankova,146133,DNS,,False
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Mariya Shurochkina,131615,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Marina Golyadkina,146180,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Duet, Women",19001980,Svetlana Romashina,116137,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Vlada Chigiryova,131617,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Svetlana Kolesnichenko,131616,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Polina Komar,146181,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Aleksandra Patskevich,120460,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Swimming,"Team, Women",19001986,Svetlana Romashina,116137,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Balance Beam, Women",19009187,Liliya Akhaimova,146134,=59 r1/2,,False
2020 Summer Olympics,61,ROC,Artistic Swimming,"Duet, Women",19001980,Svetlana Kolesnichenko,131616,1,Gold,True
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Uneven Bars, Women",19009184,Vladislava Urazova,146136,5 r1/2,,False
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Floor Exercise, Women",19009174,Liliya Akhaimova,146134,11 r1/2,,False
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Balance Beam, Women",19009187,Yelena Gerasimova,146137,16 r1/2,,False
2020 Summer Olympics,61,ROC,Artistic Gymnastics,"Uneven Bars, Women",19009184,Viktoriya Listunova,146135,6 r1/2,,False
