edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1952 Summer Olympics,13,FIN,Athletics,"Discus Throw, Men",59050,Arvo Huutoniemi,67592,29 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"Discus Throw, Men",59050,Olli Partanen,67736,18 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"Discus Throw, Men",59050,Veikko Nyqvist,67730,12,,False
1952 Summer Olympics,13,FIN,Athletics,"Shot Put, Men",59041,Kaarto Rask,67768,17 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"Hammer Throw, Men",59061,Lauri Tamminen,67836,20,,False
1952 Summer Olympics,13,FIN,Athletics,"Hammer Throw, Men",59061,Oiva Halmetoja,67566,19,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Raili Hoviniemi,28337,116,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Pirkko Vilppunen,28351,113,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Raili Tuominen,28350,83,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Vappu Salonen,28347,64,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Arja Lehtinen,28341,=62,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Raija Simola,28349,=103,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Raili Hoviniemi,28337,=101,,False
1952 Summer Olympics,13,FIN,Athletics,"Hammer Throw, Men",59061,Reino Kuivamäki,67655,14,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Pirkko Vilppunen,28351,=91,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Maila Nisula,28344,81,,False
1952 Summer Olympics,13,FIN,Athletics,"Decathlon, Men",59089,Eeles Landström,67671,14,,False
1952 Summer Olympics,13,FIN,Athletics,"Decathlon, Men",59089,Olli Reikko,67772,13,,False
1952 Summer Olympics,13,FIN,Athletics,"Javelin Throw, Men",59072,Eino Leppänen,67683,16,,False
1952 Summer Olympics,13,FIN,Athletics,"Javelin Throw, Men",59072,Soini Nikkinen,67724,8,,False
1952 Summer Olympics,13,FIN,Athletics,"Javelin Throw, Men",59072,Toivo Hyytiäinen,67593,3,Bronze,False
1952 Summer Olympics,13,FIN,Athletics,"Shot Put, Men",59041,Toivo Telen,67842,15 r1/2,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Pirkko Pyykönen,28345,=89,,False
1952 Summer Olympics,13,FIN,Athletics,"Shot Put, Men",59041,Aapo Perko,67742,14 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"Long Jump, Women",59203,Maire Österdahl,67509,9,,False
1952 Summer Olympics,13,FIN,Athletics,"Triple Jump, Men",59030,Pentti Uusihauta,67863,22 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Issi Baran,67547,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Rolf Back,67546,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Jaakko Suikkari,67820,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Pauli Tavisalo,67840,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Ossi Mildh,67709,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Ragnar Graeffe,67559,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Rolf Back,67546,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Arvo Hilli,67584,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 400 metres Relay, Men",58991,Jaakko Suikkari,67820,6 h1 r1/2,,True
1952 Summer Olympics,13,FIN,Athletics,"50 kilometres Race Walk, Men",58980,Pekka Viljanen,67872,14,,False
1952 Summer Olympics,13,FIN,Athletics,"High Jump, Men",58997,Pekka Halme,67563,=11,,False
1952 Summer Olympics,13,FIN,Athletics,"High Jump, Men",58997,Albert Koskinen,67649,=24,,False
1952 Summer Olympics,13,FIN,Athletics,"Pole Vault, Men",59008,Valto Olenius,67732,5,,False
1952 Summer Olympics,13,FIN,Athletics,"Pole Vault, Men",59008,Erkki Kataja,67631,10,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team All-Around, Women",70172,Raija Simola,28349,13,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Raili Tuominen,28350,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Vappu Salonen,28347,5,,True
1952 Summer Olympics,13,FIN,Athletics,"Triple Jump, Men",59030,Reino Hiltunen,67585,9,,False
1952 Summer Olympics,13,FIN,Athletics,"Long Jump, Men",59021,Jorma Valkama,67865,17 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"Long Jump, Men",59021,Pentti Snellman,67810,9,,False
1952 Summer Olympics,13,FIN,Athletics,"Long Jump, Men",59021,Jorma Valtonen,67867,5,,False
1952 Summer Olympics,13,FIN,Athletics,"Pole Vault, Men",59008,Jukka Piironen,67749,=18,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Arja Lehtinen,28341,=41,,False
1952 Summer Olympics,13,FIN,Athletics,"Triple Jump, Men",59030,Valle Rautio,67771,23 r1/2,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Vappu Salonen,28347,=41,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Raija Simola,28349,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Pirkko Pyykönen,28345,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Maila Nisula,28344,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Pirkko Vilppunen,28351,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Raili Hoviniemi,28337,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Team Portable Apparatus, Women",70177,Arja Lehtinen,28341,5,,True
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Floor Exercise, Women",70178,Raili Tuominen,28350,36,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Maila Nisula,28344,=118,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Uneven Bars, Women",70180,Raija Simola,28349,=118,,False
1952 Summer Olympics,13,FIN,Artistic Gymnastics,"Horse Vault, Women",70179,Raija Simola,28349,127,,False
1952 Summer Olympics,13,SUI,Cycling Track,"Tandem Sprint, 2,000 metres, Men",153659,Fritz Siegenthaler,16568,9,,True
1952 Summer Olympics,13,SUI,Cycling Track,"Team Pursuit, 4,000 metres, Men",153684,Hans Pfenninger,16122,=5,,True
1952 Summer Olympics,13,SUI,Cycling Track,"Team Pursuit, 4,000 metres, Men",153684,Heini Müller,15800,=5,,True
1952 Summer Olympics,13,SUI,Cycling Track,"Team Pursuit, 4,000 metres, Men",153684,Max Wirth,17194,=5,,True
1952 Summer Olympics,13,SUI,Cycling Track,"Team Pursuit, 4,000 metres, Men",153684,Oskar von Büren,17100,=5,,True
1952 Summer Olympics,13,SUI,Diving,"Springboard, Men",54129,Heinz Schaub,50192,35,,False
1952 Summer Olympics,13,SUI,Diving,"Platform, Men",54132,Heinz Schaub,50192,31,,False
1952 Summer Olympics,13,SUI,Diving,"Platform, Women",54138,Ferdinanda Martini-Pautasso,50133,15,,False
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Individual, Open",185145,Gottfried Trachsel,12866,4,,False
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Individual, Open",185145,Henri Chammartin,11744,6,,False
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Individual, Open",185145,Gustav Fischer,11966,8,,False
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Team, Open",185146,Gottfried Trachsel,12866,2,Silver,True
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Team, Open",185146,Henri Chammartin,11744,2,Silver,True
1952 Summer Olympics,13,SUI,Equestrian Dressage,"Team, Open",185146,Gustav Fischer,11966,2,Silver,True
1952 Summer Olympics,13,SUI,Equestrian Eventing,"Individual, Men",185135,Jürg Ziegler,13030,16,,False
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Voitto Hellstén,67581,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Adolf Turakainen,67861,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"3,000 metres Steeplechase, Men",58969,Kauko Lusenius,67696,6 h1 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"3,000 metres Steeplechase, Men",58969,Urho Julin,67612,5 h3 r1/2,,False
1952 Summer Olympics,13,FIN,Athletics,"3,000 metres Steeplechase, Men",58969,Olavi Rinteenpää,67781,4,,False
1952 Summer Olympics,13,FIN,Athletics,"400 metres Hurdles, Men",58950,Ragnar Graeffe,67559,4 h3 r1/4,,False
1952 Summer Olympics,13,FIN,Athletics,"100 metres, Women",59137,Maire Österdahl,67509,DNS,,False
1952 Summer Olympics,13,FIN,Athletics,"200 metres, Women",59160,Pirkko Länsivuori,67503,5 h5 r1/3,,False
1952 Summer Olympics,13,FIN,Athletics,"4 × 100 metres Relay, Men",58981,Pauli Tavisalo,67840,4 h1 r1/3,,True
1952 Summer Olympics,13,FIN,Athletics,"80 metres Hurdles, Women",59173,Seija Pöntinen,67514,4 h3 r1/3,,False
1952 Summer Olympics,13,FIN,Athletics,"Shot Put, Women",59214,Meeri Saari,67527,8,,False
1952 Summer Olympics,13,FIN,Athletics,"Discus Throw, Women",59223,Kaarina Koivuniemi,67493,11,,False
1952 Summer Olympics,13,FIN,Athletics,"Javelin Throw, Women",59232,Anni Rättyä,67520,14,,False
